Rank2015,Rank2014,Firm,GrossRevenue,RevenuePerLawyer,NetIncome,ProfitsPerEquityPartner,ProfitabilityIndex,CompAverage,CompNonEqPartners,CAPPerLawyer,NLawyers,NEquityPartners,NNonEquityPartners,NPartners,Leverage,ProfitMargin,ProfitsPerLawyer,Source,Notes
1,3,Latham & Watkins ,2612000000,1245000,1325000000,2900000,2.33,2350000,166000000,710000,2100,457,177,634,3.6,51,630000,"The American Lawyer, April 27, 2015",
2,2,Baker & McKenzie ,2540000000,600000,909500000,1290000,2.15,870000,337500000,295000,4245,705,726,1431,5.02,36,215000,"The American Lawyer, April 27, 2015","Vereins differ structurally from other Am Law 100 firms, especially in regard to profit sharing."
3,1,DLA Piper ,2480500000,670000,667000000,1490000,2.22,835000,365000000,280000,3702,448,788,1236,7.26,27,180000,"The American Lawyer, April 27, 2015","Vereins differ structurally from other Am Law 100 firms, especially in regard to profit sharing."
4,4,"Skadden, Arps, Slate, Meagher & Flom ",2315000000,1400000,1112000000,2905000,2.08,2905000,0,670000,1654,383,0,383,3.32,48,670000,"The American Lawyer, April 27, 2015",
5,5,Kirkland & Ellis ,2150000000,1365000,1182500000,3510000,2.57,1870000,188000000,870000,1576,337,395,732,3.68,55,750000,"The American Lawyer, April 27, 2015",
6,7,Jones Day ,1850000000,735000,866000000,930000,1.27,930000,0,345000,2510,933,0,933,1.69,47,345000,"The American Lawyer, April 27, 2015",
7,6,Norton Rose Fulbright ,1814000000,525000,589000000,625000,1.19,595000,113000000,205000,3461,944,240,1184,2.67,32,170000,"The American Lawyer, April 27, 2015","Vereins differ structurally from other Am Law 100 firms, especially in regard to profit sharing."
8,8,Hogan Lovells ,1779500000,755000,619500000,1215000,1.61,965000,140500000,320000,2360,509,279,788,3.64,35,265000,"The American Lawyer, April 27, 2015","Vereins differ structurally from other Am Law 100 firms, especially in regard to profit sharing."
9,9,Sidley Austin ,1753500000,995000,608000000,1990000,2,1280000,263500000,495000,1761,306,376,681,4.75,35,345000,"The American Lawyer, April 27, 2015",
10,10,White & Case ,1503000000,800000,552000000,2005000,2.51,1540000,92500000,345000,1878,275,143,418,5.83,37,295000,"The American Lawyer, April 27, 2015",
11,11,"Gibson, Dunn & Crutcher ",1466000000,1215000,889000000,3045000,2.51,2725000,19000000,755000,1204,292,41,333,3.12,61,740000,"The American Lawyer, April 27, 2015",
12,12,"Morgan, Lewis & Bockius",1317000000,985000,580000000,1610000,1.63,1345000,77000000,490000,1338,360,129,489,2.72,44,435000,"The American Lawyer, April 27, 2015",Census numbers and financials do not include the lawyers who joined from the former Bingham McCutchen in late November. 
13,13,Sullivan & Cromwell ,1276000000,1585000,625000000,3680000,2.32,3680000,0,775000,805,170,0,170,3.74,49,775000,"The American Lawyer, April 27, 2015",
14,14,Dentons,1275000000,560000,240000000,495000,0.88,380000,139000000,165000,2285,484,513,997,3.72,19,105000,"The American Lawyer, April 27, 2015","Vereins differ structurally from other Am Law 100 firms, especially in regard to profit sharing. Dentons joined with Dacheng in January 2015 to form the Dacheng Dentons verein. Results are for the legacy operation only.   "
15,15,Greenberg Traurig ,1270500000,735000,426000000,1425000,1.94,765000,271500000,405000,1730,299,613,912,4.79,34,245000,"The American Lawyer, April 27, 2015",
16,16,Cleary Gottlieb Steen & Hamilton ,1250000000,1060000,597500000,3230000,3.05,3230000,0,505000,1178,185,0,185,5.37,48,505000,"The American Lawyer, April 27, 2015",
