Team,Rank,Points,Matches,Win,Draw,Loss,Goals,GoalsAgainst,GoalDifference
Manchester United,1,40,19,12,4,3,36,25,11
Manchester City,2,38,18,11,5,2,31,13,18
Leicester City,3,38,19,12,2,5,35,21,14
Liverpool,4,34,19,9,7,3,37,22,15
Tottenham Hotspur,5,33,18,9,6,3,33,17,16
Everton,6,32,17,10,2,5,28,21,7
West Ham United,7,32,19,9,5,5,27,22,5
Aston Villa,8,29,17,9,2,6,31,18,13
Chelsea,9,29,19,8,5,6,33,23,10
Southampton,10,29,18,8,5,5,26,21,5
Arsenal,11,27,19,8,3,8,23,19,4
Leeds United,12,23,18,7,2,9,30,34,-4
Crystal Palace,13,23,19,6,5,8,22,33,-11
Wolverhampton,14,22,19,6,4,9,21,29,-8
Burnley,15,19,18,5,4,9,10,22,-12
Newcastle United,16,19,19,5,4,10,18,32,-14
Brighton & Hove Albion,17,17,19,3,8,8,22,29,-7
Fulham,18,12,18,2,6,10,15,27,-12
West Bromwich Albion,19,11,19,2,5,12,15,43,-28
Sheffield United,20,5,19,1,2,16,10,32,-22
