SomeRank,LawSchool,GPALow,GPAMedian,GPAHigh,LSATLow,LSATMedian,LSATHigh,Accept,SFRatio,EmployedAtGrad,EmployedAt10Mos,State,PassBar,StateBar,Library,MaleFac,FemFac,MinFac,MinStu
1,Harvard University,3.8,3.9,3.97,170,173,175,0.129,7.6,0.905,0.921,MA,0.972,0.757,3018822,0.669,0.331,0.169,0.496
1,Yale University,3.84,3.92,3.98,170,173,176,0.069,4.2,0.817,0.835,CT,0.983,0.757,1364230,0.65,0.35,0.117,0.461
3,Columbia University,3.63,3.75,3.84,170,172,174,0.168,4.9,0.924,0.933,NY,0.977,0.757,1302920,0.656,0.344,0.122,0.498
4,Stanford University,3.82,3.93,3.99,169,171,174,0.087,4,0.888,0.904,CA,0.953,0.583,492859,0.595,0.405,0.186,0.421
4,U. of Chicago,3.73,3.89,3.96,167,171,173,0.175,5.1,0.93,0.939,IL,0.989,0.79,707136,0.688,0.312,0.118,0.372
6,New York University,3.61,3.79,3.9,167,170,172,0.236,5.3,0.897,0.909,NY,0.975,0.757,1059572,0.682,0.318,0.143,0.416
6,U. of Pennsylvania,3.49,3.89,3.95,164,170,171,0.146,4.9,0.949,0.969,PA,0.985,0.796,1224184,0.647,0.353,0.2,0.429
8,Duke University,3.66,3.78,3.87,167,169,170,0.202,5.5,0.916,0.956,NC,0.978,0.757,711681,0.65,0.35,0.126,0.358
8,Northwestern University,3.58,3.84,3.9,164,169,170,0.193,3.6,0.859,0.919,IL,0.935,0.79,827547,0.637,0.363,0.104,0.43
8,U. of Michigan-Ann Arbor,3.55,3.77,3.89,165,169,171,0.196,6.8,0.886,0.928,MI,0.966,0.757,1052608,0.616,0.384,0.106,0.321
8,U. of Virginia,3.59,3.89,3.97,163,169,171,0.153,6.5,0.926,0.939,VA,0.99,0.757,806421,0.7,0.3,0.1,0.26
12,U. of California-Berkeley,3.64,3.8,3.9,165,168,170,0.202,5.8,0.843,0.902,CA,0.892,0.583,1133024,0.592,0.408,0.194,0.496
12,U. of California-Los Angeles,3.52,3.72,3.85,165,168,169,0.225,5.9,0.715,0.838,CA,0.86,0.583,709053,0.547,0.453,0.195,0.438
12,Washington U. in St Louis,3.39,3.81,3.89,160,168,170,0.3,6.8,0.724,0.902,MO,0.955,0.857,773390,0.655,0.345,0.109,0.412
15,Cornell University,3.73,3.82,3.89,164,167,168,0.211,4.9,0.911,0.931,NY,0.959,0.757,785110,0.673,0.327,0.17,0.55
15,Georgetown University,3.56,3.8,3.9,163,167,168,0.212,4.8,0.777,0.829,DC,0.956,0.757,1212577,0.686,0.314,0.043,0.508
15,U. of Texas-Austin,3.47,3.74,3.88,160,167,168,0.209,4,0.685,0.847,TX,0.904,0.745,1129100,0.668,0.332,0.102,0.356
15,Vanderbilt University,3.61,3.8,3.87,161,167,168,0.237,7.4,0.798,0.883,TN,0.95,0.757,656173,0.617,0.383,0.15,0.329
