"schoolid","schoolname","calendaryear","numapps","numftapps","numptapps","numoffers","numftoffers","numptoffers","nummatriculants","numftmatriculants","numptmatriculants","otherfirstyear","totalfirstyear","ftfirstyear","ptfirstyear","uggpa75","ftuggpa75","ptuggpa75","uggpa50","ftuggpa50","ptuggpa50","uggpa25","ftuggpa25","ptuggpa25","uggpaexcl","ftuggpaexcl","ptuggpaexcl","lsat75","ftlsat75","ptlsat75","lsat50","ftlsat50","ptlsat50","lsat25","ftlsat25","ptlsat25","lsatexcl","ftlsatexcl","ptlsatexcl","gmatenrolled","actenrolled","greenrolled","satenrolled","gmat75","gmat50","gmat25","act75","act50","act25","greverbal75","greverbal50","greverbal25","grequant75","grequant50","grequant25","greanalytical75","greanalytical50","greanalytical25","sat75","sat50","sat25"
"00100300","Faulkner University","2019","353","","","162","","","59","","","1","60","60","0","3.56","3.56","","3.08","3.08","","2.82","2.82","","0.00","0.00","","153","153","","150","150","","147","147","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00103600","Samford University","2019","647","","","428","","","159","","","0","159","159","0","3.65","3.65","","3.48","3.48","","3.25","3.25","","0.00","0.00","","156","156","","153","153","","150","150","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00105100","University of Alabama","2019","1446","","","474","","","132","","","3","135","135","0","4.00","4.00","","3.91","3.91","","3.54","3.54","","0.00","0.00","","166","166","","164","164","","157","157","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"00108100","Arizona State University","2019","3710","","","1091","","","269","","","4","273","273","0","3.91","3.91","","3.81","3.81","","3.39","3.39","","5.00","5.00","","165","165","","164","164","","156","156","","4","4","","","","","","","","","","","","","","","","","","","","","","",""
"00108300","University of Arizona","2019","1495","","","393","","","131","","","2","133","133","0","3.82","3.82","","3.65","3.65","","3.36","3.36","","3.00","3.00","","163","163","","162","162","","160","160","","17","17","","","","","","","","","","","","","","","","","","","","","","",""
"00110101","University of Arkansas-Little Rock","2019","805","","","426","","","154","","","1","155","123","32","3.61","3.63","3.52","3.35","3.36","3.23","3.06","3.06","3.04","0.00","0.00","0.00","155","156","154","152","152","149","148","148","145","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2019","629","","","340","","","113","","","0","113","113","0","3.69","3.69","","3.50","3.50","","3.15","3.15","","0.00","0.00","","158","158","","156","156","","153","153","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00116453","Chapman University","2019","1743","","","592","","","146","","","2","148","148","0","3.64","3.64","","3.49","3.49","","3.28","3.28","","1.00","1.00","","160","160","","158","158","","155","155","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00120529","Golden Gate University","2019","1088","","","602","","","122","","","5","127","105","22","3.38","3.45","3.19","3.14","3.15","3.01","2.79","2.83","2.69","7.00","5.00","2.00","152","153","152","150","150","150","147","147","147","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00121601","University of La Verne","2019","826","","","337","","","92","","","7","99","86","13","3.29","3.34","3.18","2.98","2.97","3.01","2.79","2.78","2.90","5.00","4.00","1.00","151","151","151","150","150","149","148","148","148","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00129500","Southwestern Law School","2019","1900","","","910","","","340","","","1","341","289","52","3.56","3.57","3.43","3.30","3.31","3.09","3.03","3.05","2.81","8.00","5.00","3.00","155","155","155","153","153","153","151","151","151","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00130503","Stanford University","2019","3908","","","380","","","157","","","23","180","180","0","3.96","3.96","","3.91","3.91","","3.79","3.79","","0.00","0.00","","174","174","","171","171","","169","169","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"00131273","University of California-Berkeley","2019","5843","","","1150","","","307","","","20","327","327","0","3.90","3.90","","3.81","3.81","","3.70","3.70","","5.00","5.00","","170","170","","168","168","","165","165","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"00131373","University of California-Davis","2019","3103","","","963","","","231","","","3","234","234","0","3.75","3.75","","3.61","3.61","","3.41","3.41","","8.00","8.00","","164","164","","162","162","","159","159","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00131400","University of California-Irvine","2019","3147","","","655","","","152","","","5","157","157","0","3.74","3.74","","3.59","3.59","","3.39","3.39","","8.00","8.00","","167","167","","165","165","","162","162","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00131500","University of California-Los Angeles","2019","6175","","","1384","","","298","","","9","307","307","0","3.89","3.89","","3.79","3.79","","3.51","3.51","","5.00","5.00","","169","169","","168","168","","164","164","","7","7","","","","","","","","","","","","","","","","","","","","","","",""
"00132500","University of San Francisco","2019","1633","","","876","","","145","","","4","149","142","7","3.51","3.51","0.00","3.29","3.29","0.00","3.00","3.00","0.00","0.00","0.00","0.00","155","155","0","153","153","0","151","151","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00132600","Santa Clara University","2019","2084","","","1145","","","231","","","10","241","241","0","3.53","3.53","","3.33","3.33","","3.10","3.10","","14.00","14.00","","159","159","","156","156","","153","153","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00132800","University of Southern California","2019","5648","","","999","","","200","","","3","203","203","0","3.91","3.91","","3.80","3.80","","3.65","3.65","","4.00","4.00","","167","167","","166","166","","163","163","","6","6","","","","","","","","","","","","","","","","","","","","","","",""
"00132901","McGeorge School of Law","2019","827","","","519","","","168","","","8","176","149","27","3.54","3.55","3.47","3.35","3.37","3.31","3.03","3.04","3.01","2.00","1.00","1.00","156","156","159","153","153","154","150","150","151","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00137000","University of Colorado","2019","3187","","","1107","","","175","","","1","176","176","0","3.81","3.81","","3.61","3.61","","3.36","3.36","","1.00","1.00","","165","165","","163","163","","157","157","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00137100","University of Denver","2019","2324","","","1169","","","268","","","3","271","235","36","3.66","3.66","3.70","3.49","3.49","3.41","3.18","3.20","3.01","1.00","0.00","1.00","161","161","162","159","159","158","155","155","155","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00140201","Quinnipiac University","2019","917","","","531","","","142","","","2","144","124","20","3.77","3.77","3.70","3.46","3.50","3.29","3.26","3.31","3.09","1.00","1.00","0.00","154","155","152","152","153","150","150","150","149","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00141706","University of Connecticut","2019","1216","","","490","","","163","","","1","164","138","26","3.67","3.67","3.66","3.49","3.51","3.43","3.27","3.28","3.22","6.00","6.00","0.00","161","161","162","159","159","159","157","158","154","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00142600","Yale University","2019","3198","","","263","","","184","","","28","212","212","0","3.99","3.99","","3.93","3.93","","3.85","3.85","","2.00","2.00","","175","175","","173","173","","170","170","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00143401","American University","2019","5261","","","2038","","","380","","","1","381","321","60","3.62","3.64","3.53","3.50","3.50","3.42","3.24","3.24","3.17","8.00","2.00","6.00","161","161","161","159","159","159","155","154","156","5","4","1","","","","","","","","","","","","","","","","","","","","","",""
"00143711","Catholic University of America","2019","1179","","","547","","","155","","","0","155","114","41","3.61","3.61","3.60","3.42","3.42","3.38","3.21","3.24","3.03","2.00","1.00","1.00","158","158","158","155","155","157","152","152","154","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00144102","District of Columbia","2019","531","","","190","","","79","","","0","79","43","36","3.35","3.25","3.46","3.08","3.03","3.14","2.87","2.82","2.91","5.00","1.00","4.00","150","149","153","148","148","149","146","146","146","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00144402","George Washington University","2019","8019","","","2488","","","489","","","17","506","481","25","3.83","3.84","3.76","3.73","3.74","3.54","3.39","3.40","3.17","13.00","13.00","0.00","167","167","166","166","166","157","159","160","152","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00144503","Georgetown University","2019","10366","","","2026","","","551","","","22","573","518","55","3.89","3.89","3.90","3.78","3.78","3.74","3.55","3.56","3.36","20.00","16.00","4.00","169","169","167","168","168","165","163","163","160","48","35","13","","","","","","","","","","","","","","","","","","","","","",""
"00144802","Howard University","2019","1490","","","569","","","158","","","2","160","160","0","3.58","3.58","","3.33","3.33","","3.09","3.09","","0.00","0.00","","156","156","","152","152","","149","149","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00146601","Barry University","2019","1341","","","711","","","245","","","0","245","215","30","3.39","3.37","3.53","3.07","3.08","2.96","2.75","2.77","2.64","7.00","6.00","1.00","151","151","150","148","148","149","146","146","147","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00146800","St. Thomas University (Florida)","2019","1030","","","589","","","226","","","7","233","233","0","3.51","3.51","","3.25","3.25","","2.89","2.89","","4.00","4.00","","151","151","","149","149","","146","146","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00148001","Florida A&M University","2019","1204","","","604","","","210","","","2","212","171","41","3.43","3.44","3.41","3.10","3.11","3.02","2.87","2.89","2.77","3.00","3.00","0.00","149","149","150","146","146","147","145","145","145","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00148900","Florida State University","2019","1598","","","522","","","192","","","0","192","192","0","3.84","3.84","","3.73","3.73","","3.48","3.48","","1.00","1.00","","161","161","","160","160","","155","155","","2","2","","","","","","","","","","","","","","","","","","","","","","",""
"00150900","Nova Southeastern University","2019","1301","","","650","","","196","","","10","206","172","34","3.40","3.43","3.33","3.16","3.19","2.95","2.85","2.87","2.73","3.00","3.00","0.00","153","153","152","151","151","151","149","150","149","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00153101","Stetson University","2019","1767","","","891","","","298","","","0","298","254","44","3.55","3.56","3.43","3.30","3.34","3.10","3.05","3.09","2.85","2.00","2.00","0.00","158","158","158","155","155","154","153","153","152","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00153505","University of Florida","2019","2208","","","456","","","152","","","20","172","172","0","3.89","3.89","","3.80","3.80","","3.34","3.34","","4.00","4.00","","166","166","","164","164","","156","156","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00153601","University of Miami","2019","2609","","","1426","","","343","","","10","353","353","0","3.64","3.64","","3.44","3.44","","3.24","3.24","","6.00","6.00","","161","161","","158","158","","156","156","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00156400","Emory University","2019","4316","","","1338","","","240","","","5","245","245","0","3.90","3.90","","3.80","3.80","","3.43","3.43","","16.00","16.00","","166","166","","165","165","","158","158","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00157400","Georgia State University","2019","1710","","","501","","","217","","","0","217","162","55","3.66","3.68","3.60","3.51","3.55","3.42","3.34","3.37","3.13","8.00","6.00","2.00","160","160","158","158","158","156","156","156","154","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00158015","Mercer University","2019","826","","","389","","","133","","","1","134","134","0","3.60","3.60","","3.37","3.37","","3.12","3.12","","0.00","0.00","","155","155","","153","153","","151","151","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00159800","University of Georgia","2019","2268","","","471","","","192","","","2","194","194","0","3.87","3.87","","3.73","3.73","","3.46","3.46","","1.00","1.00","","165","165","","164","164","","157","157","","19","19","","","","","","","","","","","","","","","","","","","","","","",""
"00161000","University of Hawaii","2019","620","","","237","","","101","","","2","103","83","20","3.71","3.74","3.54","3.45","3.52","3.25","3.15","3.15","2.97","2.00","1.00","1.00","159","159","159","156","157","154","153","154","153","12","7","5","","","","","","","","","","","","","","","","","","","","","",""
"00162600","University of Idaho","2019","465","","","301","","","119","","","7","126","126","0","3.57","3.57","","3.28","3.28","","2.98","2.98","","4.00","4.00","","155","155","","153","153","","148","148","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"00167100","Depaul University","2019","1836","","","883","","","191","","","1","192","169","23","3.61","3.62","3.44","3.39","3.40","3.26","3.05","3.05","3.05","2.00","2.00","0.00","156","156","155","155","155","153","152","152","149","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00169101","Chicago-Kent College of Law-IIT","2019","1700","","","854","","","236","","","4","240","201","39","3.69","3.69","3.67","3.49","3.49","3.49","3.11","3.11","2.95","6.00","4.00","2.00","160","160","160","158","158","158","153","153","153","12","9","3","","","","","","","","","","","","","","","","","","","","","",""
"00169800","John Marshall Law School","2019","1679","","","956","","","324","","","13","337","278","59","3.43","3.45","3.37","3.22","3.24","3.11","2.95","2.98","2.74","4.00","3.00","1.00","153","153","153","150","150","149","147","147","147","4","1","3","","","","","","","","","","","","","","","","","","","","","",""
"00171000","Loyola University-Chicago","2019","2735","","","1214","","","252","","","7","259","214","45","3.57","3.58","3.53","3.40","3.42","3.19","3.20","3.28","2.96","2.00","0.00","2.00","161","161","159","159","159","155","157","157","152","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00173700","Northern Illinois University","2019","676","","","401","","","114","","","7","121","121","0","3.56","3.56","","3.28","3.28","","3.07","3.07","","1.00","1.00","","153","153","","150","150","","147","147","","4","4","","","","","","","","","","","","","","","","","","","","","","",""
"00173900","Northwestern University","2019","5441","","","980","","","234","","","9","243","243","0","3.92","3.92","","3.85","3.85","","3.56","3.56","","8.00","8.00","","171","171","","169","169","","165","165","","27","27","","","","","","","","","","","","","","","","","","","","","","",""
"00175800","Southern Illinois University-Carbondale","2019","423","","","223","","","85","","","0","85","85","0","3.50","3.50","","3.22","3.22","","2.99","2.99","","0.00","0.00","","153","153","","149","149","","147","147","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00177400","University of Chicago","2019","4933","","","918","","","192","","","5","197","197","0","3.96","3.96","","3.90","3.90","","3.78","3.78","","1.00","1.00","","172","172","","170","170","","167","167","","3","3","","","","","","","","","","","","","","","","","","","","","","",""
"00177500","University of Illinois","2019","1304","","","478","","","130","","","0","130","130","0","3.82","3.82","","3.70","3.70","","3.42","3.42","","3.00","3.00","","164","164","","162","162","","157","157","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00180900","Indiana University - Bloomington","2019","1790","","","679","","","169","","","0","169","169","0","3.93","3.93","","3.79","3.79","","3.57","3.57","","8.00","8.00","","163","163","","162","162","","155","155","","5","5","","","","","","","","","","","","","","","","","","","","","","",""
"00181300","Indiana University - Indianapolis","2019","923","","","575","","","254","","","2","256","196","60","3.64","3.65","3.46","3.44","3.50","3.24","3.14","3.23","2.99","5.00","3.00","2.00","157","157","155","154","154","153","150","150","150","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00184000","University of Notre Dame","2019","2753","","","662","","","211","","","3","214","214","0","3.87","3.87","","3.74","3.74","","3.50","3.50","","7.00","7.00","","166","166","","165","165","","160","160","","4","4","","","","","","","","","","","","","","","","","","","","","","",""
"00186000","Drake University","2019","474","","","313","","","116","","","0","116","116","0","3.73","3.73","","3.44","3.44","","3.17","3.17","","0.00","0.00","","158","158","","154","154","","152","152","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00189200","University of Iowa","2019","1125","","","669","","","151","","","0","151","151","0","3.77","3.77","","3.64","3.64","","3.41","3.41","","3.00","3.00","","163","163","","161","161","","156","156","","2","2","","","","","","","","","","","","","","","","","","","","","","",""
"00194800","University of Kansas","2019","569","","","326","","","104","","","4","108","108","0","3.87","3.87","","3.65","3.65","","3.34","3.34","","0.00","0.00","","159","159","","157","157","","152","152","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00194900","Washburn University","2019","497","","","254","","","97","","","0","97","97","0","3.71","3.71","","3.41","3.41","","3.03","3.03","","0.00","0.00","","157","157","","154","154","","150","150","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00198903","University of Kentucky","2019","782","","","388","","","100","","","2","102","102","0","3.80","3.80","","3.62","3.62","","3.36","3.36","","1.00","1.00","","158","158","","155","155","","154","154","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00199900","University of Louisville","2019","587","","","310","","","94","","","2","96","96","0","3.67","3.67","","3.46","3.46","","3.16","3.16","","0.00","0.00","","157","157","","154","154","","151","151","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00201000","Louisiana State University","2019","966","","","541","","","204","","","2","206","206","0","3.72","3.72","","3.48","3.48","","3.19","3.19","","4.00","4.00","","157","157","","155","155","","152","152","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00201600","Loyola University-New Orleans","2019","855","","","534","","","171","","","1","172","154","18","3.50","3.50","3.67","3.30","3.29","3.32","3.00","3.02","2.82","1.00","0.00","1.00","154","154","159","151","151","153","148","148","149","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00202500","Southern University","2019","822","","","499","","","230","","","11","241","148","93","3.31","3.38","3.09","2.99","3.14","2.80","2.68","2.79","2.45","0.00","0.00","0.00","147","147","147","145","145","145","142","143","142","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00202900","Tulane University","2019","1510","","","793","","","211","","","1","212","212","0","3.65","3.65","","3.50","3.50","","3.27","3.27","","3.00","3.00","","161","161","","159","159","","154","154","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00205400","University of Maine","2019","572","","","308","","","83","","","8","91","91","0","3.68","3.68","","3.48","3.48","","3.20","3.20","","3.00","3.00","","158","158","","154","154","","151","151","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"00210200","University of Baltimore","2019","1122","","","618","","","221","","","0","221","165","56","3.44","3.44","3.46","3.19","3.19","3.18","2.92","2.93","2.92","3.00","2.00","1.00","156","156","156","153","153","153","150","150","151","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00210400","University of Maryland","2019","2406","","","1055","","","211","","","5","216","192","24","3.79","3.78","3.85","3.66","3.66","3.73","3.49","3.49","3.56","5.00","5.00","0.00","161","161","161","159","159","159","153","153","153","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00212801","Boston College","2019","4717","","","1477","","","253","","","1","254","254","0","3.73","3.73","","3.64","3.64","","3.45","3.45","","5.00","5.00","","165","165","","164","164","","161","161","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00213007","Boston University","2019","5812","","","1345","","","223","","","8","231","231","0","3.86","3.86","","3.78","3.78","","3.56","3.56","","3.00","3.00","","168","168","","166","166","","161","161","","4","4","","","","","","","","","","","","","","","","","","","","","","",""
"00215510","Harvard University","2019","7333","","","916","","","494","","","70","564","564","0","3.96","3.96","","3.89","3.89","","3.79","3.79","","27.00","27.00","","175","175","","173","173","","170","170","","43","43","","","","","","","","","","","","","","","","","","","","","","",""
"00219900","Northeastern University","2019","2473","","","1070","","","200","","","8","208","208","0","3.75","3.75","","3.63","3.63","","3.40","3.40","","3.00","3.00","","163","163","","162","162","","156","156","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"00221007","University of Massachusetts Dartmouth","2019","1130","","","619","","","111","","","1","112","86","26","3.53","3.46","3.59","3.22","3.22","3.30","2.98","3.02","2.87","1.00","0.00","1.00","153","153","153","149","149","150","147","147","146","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00221810","Suffolk University","2019","1924","","","1283","","","364","","","4","368","283","85","3.55","3.54","3.57","3.33","3.33","3.33","3.08","3.10","3.05","10.00","4.00","6.00","156","156","157","152","152","153","149","149","149","11","5","6","","","","","","","","","","","","","","","","","","","","","",""
"00222600","Western New England University","2019","661","","","371","","","107","","","3","110","79","31","3.67","3.66","3.75","3.36","3.36","3.24","2.95","2.95","2.92","1.00","1.00","0.00","152","151","153","148","148","148","146","146","145","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"00225400","Michigan State University","2019","1475","","","812","","","233","","","5","238","238","0","3.77","3.77","","3.58","3.58","","3.29","3.29","","2.00","2.00","","157","157","","155","155","","152","152","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
