"schoolid","schoolname","calendaryear","firsttimebaryear","gradtotal","graddidnottake","graddidnottakepct","gradnoinfo","gradnoinfopct","graddidnottakenoinfopct","prioryrfirsttimetaker","totalfirsttimetakers","totalfirsttimepassers","reportpct","avgschoolpasspct","avgstatepasspct","avgpasspctdiff","ultimatebaryear","ultimatecohorttotal","ultimatedidnottake","ultimatenoinfo","ultimatetakers","ultimatepassers","ultimateschoolpasspct"
"00100300","Faulkner University","2020","2019","62","8","0.12900000","0","0.00000000","0.12900000","17","71","52","","0.73240000","0.83760000","-0.10520000","2017","74","2","0","72","45","0.62500000"
"00103600","Samford University","2020","2019","138","12","0.08700000","1","0.00720000","0.09420000","13","138","114","","0.82610000","0.83310000","-0.00700000","2017","136","2","10","124","112","0.90320000"
"00105100","University of Alabama","2020","2019","131","10","0.07630000","3","0.02290000","0.09920000","8","126","118","","0.93650000","0.81720000","0.11930000","2017","132","6","0","126","121","0.96030000"
"00108100","Arizona State University","2020","2019","271","34","0.12550000","0","0.00000000","0.12550000","34","278","241","","0.86690000","0.74170000","0.12520000","2017","213","7","2","204","185","0.90690000"
"00108300","University of Arizona","2020","2019","103","23","0.22330000","0","0.00000000","0.22330000","13","114","76","","0.66670000","0.74470000","-0.07800000","2017","130","8","1","121","107","0.88430000"
"00110101","University of Arkansas-Little Rock","2020","2019","121","12","0.09920000","0","0.00000000","0.09920000","8","117","79","","0.67520000","0.73420000","-0.05900000","2017","120","3","0","117","104","0.88890000"
"00110800","University of Arkansas-Fayetteville","2020","2019","98","7","0.07140000","0","0.00000000","0.07140000","1","92","72","","0.78260000","0.75290000","0.02970000","2017","121","6","0","115","106","0.92170000"
"00116453","Chapman University","2020","2019","162","0","0.00000000","0","0.00000000","0.00000000","0","162","96","","0.59260000","0.69110000","-0.09850000","2017","144","0","0","144","125","0.86810000"
"00120529","Golden Gate University","2020","2019","108","19","0.17590000","1","0.00930000","0.18520000","9","98","43","","0.43880000","0.70290000","-0.26410000","2017","87","3","0","84","63","0.75000000"
"00121601","University of La Verne","2020","2019","","","","","","","","","","","","","","","","","","","",""
"00129500","Southwestern Law School","2020","2019","190","9","0.04740000","13","0.06840000","0.11580000","23","191","108","","0.56540000","0.69420000","-0.12880000","2017","292","0","6","286","221","0.77270000"
"00130503","Stanford University","2020","2019","183","15","0.08200000","4","0.02190000","0.10380000","6","171","163","","0.95320000","0.74350000","0.20970000","2017","194","7","5","182","181","0.99450000"
"00131273","University of California-Berkeley","2020","2019","330","13","0.03940000","6","0.01820000","0.05760000","11","322","291","","0.90370000","0.71880000","0.18490000","2017","305","5","2","298","290","0.97320000"
"00131373","University of California-Davis","2020","2019","155","13","0.08390000","0","0.00000000","0.08390000","6","148","125","","0.84460000","0.70010000","0.14450000","2017","165","1","4","160","148","0.92500000"
"00131400","University of California-Irvine","2020","2019","143","11","0.07690000","0","0.00000000","0.07690000","3","135","110","","0.81490000","0.69740000","0.11750000","2017","95","2","0","93","87","0.93550000"
"00131500","University of California-Los Angeles","2020","2019","315","2","0.00630000","9","0.02860000","0.03490000","9","313","280","","0.89460000","0.70940000","0.18520000","2017","350","0","2","348","332","0.95400000"
"00132500","University of San Francisco","2020","2019","116","17","0.14660000","0","0.00000000","0.14660000","15","114","44","","0.38600000","0.69200000","-0.30600000","2017","158","6","1","151","116","0.76820000"
"00132600","Santa Clara University","2020","2019","214","36","0.16820000","0","0.00000000","0.16820000","26","204","132","","0.64710000","0.69580000","-0.04870000","2017","134","3","0","131","116","0.88550000"
"00132800","University of Southern California","2020","2019","224","10","0.04460000","2","0.00890000","0.05360000","7","220","193","","0.87730000","0.70060000","0.17670000","2017","211","3","2","206","196","0.95150000"
"00132901","McGeorge School of Law","2020","2019","141","9","0.06380000","5","0.03550000","0.09930000","2","129","84","","0.65120000","0.69200000","-0.04080000","2017","130","3","0","127","103","0.81100000"
"00137000","University of Colorado","2020","2019","154","14","0.09090000","0","0.00000000","0.09090000","12","152","133","","0.87500000","0.76540000","0.10960000","2017","167","4","0","163","158","0.96930000"
"00137100","University of Denver","2020","2019","244","43","0.17620000","0","0.00000000","0.17620000","39","240","194","","0.80830000","0.76660000","0.04170000","2017","253","8","2","243","217","0.89300000"
"00140201","Quinnipiac University","2020","2019","76","10","0.13160000","0","0.00000000","0.13160000","11","77","55","","0.71430000","0.72430000","-0.01000000","2017","89","3","0","86","74","0.86050000"
"00141706","University of Connecticut","2020","2019","105","11","0.10480000","0","0.00000000","0.10480000","5","99","77","","0.77780000","0.72010000","0.05770000","2017","155","12","0","143","131","0.91610000"
"00142600","Yale University","2020","2019","212","19","0.08960000","0","0.00000000","0.08960000","19","214","206","","0.96260000","0.77380000","0.18880000","2017","222","18","0","204","204","1.00000000"
"00143401","American University","2020","2019","399","54","0.13530000","13","0.03260000","0.16790000","59","391","295","","0.75450000","0.75350000","0.00100000","2017","384","11","2","371","296","0.79780000"
"00143711","Catholic University of America","2020","2019","104","8","0.07690000","2","0.01920000","0.09620000","7","101","81","","0.80200000","0.74100000","0.06100000","2017","112","0","4","108","99","0.91670000"
"00144102","District of Columbia","2020","2019","66","21","0.31820000","0","0.00000000","0.31820000","8","53","20","","0.37740000","0.73610000","-0.35870000","2017","68","4","0","64","41","0.64060000"
"00144402","George Washington University","2020","2019","501","19","0.03790000","34","0.06790000","0.10580000","36","484","426","","0.88020000","0.75350000","0.12670000","2017","618","5","21","592","562","0.94930000"
"00144503","Georgetown University","2020","2019","660","21","0.03180000","37","0.05610000","0.08790000","86","696","645","","0.92670000","0.76990000","0.15680000","2017","674","4","20","650","623","0.95850000"
"00144802","Howard University","2020","2019","131","5","0.03820000","1","0.00760000","0.04580000","13","139","94","","0.67620000","0.76010000","-0.08390000","2017","107","10","4","93","79","0.84950000"
"00146601","Barry University","2020","2019","176","56","0.31820000","0","0.00000000","0.31820000","42","162","92","","0.56790000","0.70840000","-0.14050000","2017","179","13","0","166","126","0.75900000"
"00146800","St. Thomas University (Florida)","2020","2019","157","28","0.17830000","4","0.02550000","0.20380000","40","165","110","","0.66660000","0.70900000","-0.04240000","2017","179","4","0","175","141","0.80570000"
"00148001","Florida A&M University","2020","2019","143","37","0.25870000","34","0.23780000","0.49650000","36","108","63","","0.58330000","0.71140000","-0.12810000","2017","127","0","7","120","85","0.70830000"
"00148900","Florida State University","2020","2019","177","39","0.22030000","0","0.00000000","0.22030000","5","143","124","","0.86710000","0.70780000","0.15930000","2017","234","4","3","227","211","0.92950000"
"00150900","Nova Southeastern University","2020","2019","226","13","0.05750000","1","0.00440000","0.06190000","8","220","144","","0.65450000","0.70580000","-0.05130000","2017","219","3","0","216","195","0.90280000"
"00153101","Stetson University","2020","2019","245","50","0.20410000","0","0.00000000","0.20410000","46","247","190","","0.76920000","0.70640000","0.06280000","2017","237","20","0","217","190","0.87560000"
"00153505","University of Florida","2020","2019","329","27","0.08210000","0","0.00000000","0.08210000","24","326","284","","0.87120000","0.71090000","0.16030000","2017","326","5","3","318","296","0.93080000"
"00153601","University of Miami","2020","2019","340","46","0.13530000","49","0.14410000","0.27940000","38","283","222","","0.78440000","0.71790000","0.06650000","2017","257","16","4","237","228","0.96200000"
"00156400","Emory University","2020","2019","307","37","0.12050000","0","0.00000000","0.12050000","21","291","241","","0.82820000","0.72020000","0.10800000","2017","299","9","5","285","252","0.88420000"
"00157400","Georgia State University","2020","2019","196","28","0.14290000","0","0.00000000","0.14290000","23","191","166","","0.86910000","0.65920000","0.20990000","2017","184","8","0","176","170","0.96590000"
"00158015","Mercer University","2020","2019","130","8","0.06150000","0","0.00000000","0.06150000","6","128","104","","0.81250000","0.66980000","0.14270000","2017","123","0","4","119","106","0.89080000"
"00159800","University of Georgia","2020","2019","185","11","0.05950000","0","0.00000000","0.05950000","8","182","167","","0.91760000","0.67780000","0.23980000","2017","182","5","0","177","169","0.95480000"
"00161000","University of Hawaii","2020","2019","88","20","0.22730000","0","0.00000000","0.22730000","2","70","46","","0.65720000","0.73270000","-0.07550000","2017","124","0","8","116","99","0.85340000"
"00162600","University of Idaho","2020","2019","101","14","0.13860000","7","0.06930000","0.20790000","12","92","64","","0.69560000","0.73860000","-0.04300000","2017","89","3","5","81","68","0.83950000"
