"schoolid","schoolname","calendaryear","academicyear","jd1sectionsz","ftjd1sectionsz","ptjd1sectionsz","postjd1courses","courseseclt25","courseseclt50","courseseclt75","courseseclt100","coursesectgte100","totalsimpos","simposfilled","ftsimposfilled","ptsimposfilled","seminars","semposfilled","ftsemposfilled","ptsemposfilled","totalclinics","totalclinpos","clinposfilled","ftclinposfilled","ptclinposfilled","fieldposfilled","ftfieldposfilled","ptfieldposfilled","indstudy","ftindstudy","ptindstudy","lawjour","ftlawjour","ptlawjour","interskillscomp","ftinterskillscomp","ptinterskillscomp","cocurricularoffers","gradreqcredithrs","fyreqcourscredithrs","ulreqcourscredithrs"
"00100300","Faulkner University","2019","2018","34","","","52","47","12","3","0","0","210","","","","7","","","","","72","","","","65","","","","","","","","","","","","16","90","",""
"00103600","Samford University","2019","2018","73","","","98","60","40","13","1","0","448","","","","12","","","","","0","","","","33","","","","","","","","","","","","23","90","",""
"00105100","University of Alabama","2019","2018","58","","","127","103","19","8","0","0","344","","","","17","","","","","90","","","","58","","","","","","","","","","","","40","90","",""
"00108100","Arizona State University","2019","2018","60","","","202","203","52","19","11","2","374","","","","67","","","","","203","","","","416","","","","","","","","","","","","39","88","",""
"00108300","University of Arizona","2019","2018","61","","","161","136","12","1","2","0","920","","","","50","","","","","309","","","","126","","","","","","","","","","","","36","88","",""
"00110101","University of Arkansas-Little Rock","2019","2018","103","","","100","108","16","8","5","2","312","","","","10","","","","","128","","","","65","","","","","","","","","","","","4","90","",""
"00110800","University of Arkansas-Fayetteville","2019","2018","62","","","118","108","21","4","0","0","170","","","","5","","","","","60","","","","124","","","","","","","","","","","","9","90","",""
"00116453","Chapman University","2019","2018","50","","","103","150","28","9","0","0","774","","","","24","","","","","186","","","","266","","","","","","","","","","","","7","88","",""
"00120529","Golden Gate University","2019","2018","44","","","123","168","24","5","0","0","579","","","","24","","","","","95","","","","111","","","","","","","","","","","","18","88","",""
"00121601","University of La Verne","2019","2018","32","","","79","61","18","0","0","0","257","","","","5","","","","","31","","","","95","","","","","","","","","","","","6","88","",""
"00129500","Southwestern Law School","2019","2018","55","","","140","127","34","13","4","0","1144","","","","14","","","","","172","","","","339","","","","","","","","","","","","16","87","",""
