"schoolid","schoolname","calendaryear","totaljddeg","hispanicjddeg","amindianjddeg","asianjddeg","blackjddeg","nathawjddeg","twoormorejddeg","minorityjddeg","whitejddeg","nonresalienjddeg","unknownjddeg"
"00100300","Faulkner University","2019","66","1","0","1","16","0","3","21","43","1","1"
"00103600","Samford University","2019","126","7","1","2","4","2","2","18","105","0","3"
"00105100","University of Alabama","2019","133","5","1","0","15","0","6","27","104","0","2"
"00108100","Arizona State University","2019","282","46","3","13","7","1","18","88","179","5","10"
"00108300","University of Arizona","2019","121","25","9","8","4","1","2","49","62","10","0"
"00110101","University of Arkansas-Little Rock","2019","121","5","3","2","7","0","0","17","101","0","3"
"00110800","University of Arkansas-Fayetteville","2019","119","8","8","2","6","1","5","30","88","0","1"
"00116453","Chapman University","2019","171","43","1","21","4","0","13","82","79","1","9"
"00120529","Golden Gate University","2019","108","15","1","14","8","2","10","50","50","2","6"
"00121601","University of La Verne","2019","84","31","0","6","10","0","5","52","23","7","2"
"00129500","Southwestern Law School","2019","199","64","0","20","14","1","14","113","77","2","7"
"00130503","Stanford University","2019","183","22","1","27","11","0","13","74","105","2","2"
"00131273","University of California-Berkeley","2019","328","38","0","64","16","0","20","138","166","15","9"
"00131373","University of California-Davis","2019","154","27","0","25","2","1","13","68","68","11","7"
"00131400","University of California-Irvine","2019","141","17","0","33","7","0","5","62","65","3","11"
"00131500","University of California-Los Angeles","2019","317","31","1","48","15","1","14","110","174","6","27"
"00132500","University of San Francisco","2019","119","43","0","14","10","0","4","71","40","3","5"
"00132600","Santa Clara University","2019","211","33","0","44","10","1","12","100","104","7","0"
"00132800","University of Southern California","2019","224","22","0","39","9","0","10","80","117","11","16"
"00132901","McGeorge School of Law","2019","153","25","0","15","6","1","1","48","94","0","11"
"00137000","University of Colorado","2019","156","18","3","5","1","0","8","35","112","1","8"
"00137100","University of Denver","2019","243","38","2","5","2","0","8","55","176","1","11"
"00140201","Quinnipiac University","2019","74","9","0","4","1","0","3","17","55","0","2"
"00141706","University of Connecticut","2019","105","8","2","8","7","0","2","27","74","0","4"
"00142600","Yale University","2019","250","22","0","25","19","0","11","77","123","48","2"
"00143401","American University","2019","403","54","0","26","33","1","19","133","247","6","17"
"00143711","Catholic University of America","2019","103","4","0","0","5","0","0","9","42","1","51"
"00144102","District of Columbia","2019","65","9","0","2","31","0","0","42","19","1","3"
"00144402","George Washington University","2019","472","8","2","59","37","2","0","108","267","33","64"
"00144503","Georgetown University","2019","668","56","0","39","55","2","5","157","337","46","128"
"00144802","Howard University","2019","134","6","1","3","115","0","7","132","1","0","1"
"00146601","Barry University","2019","184","50","3","9","19","2","0","83","91","3","7"
"00146800","St. Thomas University (Florida)","2019","176","115","0","5","16","0","7","143","26","6","1"
"00148001","Florida A&M University","2019","129","16","0","7","59","0","12","94","33","0","2"
"00148900","Florida State University","2019","172","23","0","5","12","0","9","49","120","1","2"
"00150900","Nova Southeastern University","2019","227","79","1","3","18","0","3","104","105","10","8"
"00153101","Stetson University","2019","252","43","1","6","15","0","12","77","174","1","0"
"00153505","University of Florida","2019","328","60","1","17","37","1","0","116","196","2","14"
"00153601","University of Miami","2019","326","114","1","9","19","0","9","152","130","23","21"
"00156400","Emory University","2019","307","29","0","29","22","0","10","90","165","40","12"
"00157400","Georgia State University","2019","200","12","2","17","18","0","4","53","132","3","12"
"00158015","Mercer University","2019","130","10","1","1","15","0","1","28","102","0","0"
"00159800","University of Georgia","2019","181","7","0","6","15","0","0","28","147","1","5"
"00161000","University of Hawaii","2019","83","7","0","18","4","4","25","58","23","1","1"
"00162600","University of Idaho","2019","96","10","3","3","4","1","5","26","70","0","0"
"00167100","Depaul University","2019","213","21","0","22","16","0","1","60","130","13","10"
"00169101","Chicago-Kent College of Law-IIT","2019","229","32","0","15","15","1","8","71","134","19","5"
"00169800","John Marshall Law School","2019","232","32","1","19","39","0","5","96","113","11","12"
"00171000","Loyola University-Chicago","2019","198","21","0","9","21","0","8","59","139","0","0"
"00173700","Northern Illinois University","2019","84","7","1","4","8","0","4","24","58","0","2"
"00173900","Northwestern University","2019","240","34","1","25","12","0","5","77","139","17","7"
"00175800","Southern Illinois University-Carbondale","2019","85","3","0","1","8","0","7","19","66","0","0"
"00177400","University of Chicago","2019","202","18","0","18","12","0","8","56","137","5","4"
"00177500","University of Illinois","2019","122","7","0","14","2","0","2","25","89","4","4"
"00180900","Indiana University - Bloomington","2019","178","16","0","6","11","0","2","35","121","13","9"
"00181300","Indiana University - Indianapolis","2019","230","14","6","10","26","2","0","58","172","0","0"
"00184000","University of Notre Dame","2019","193","16","1","12","16","0","4","49","139","3","2"
"00186000","Drake University","2019","104","4","0","1","4","0","5","14","89","0","1"
"00189200","University of Iowa","2019","140","19","2","4","6","0","6","37","88","4","11"
"00194800","University of Kansas","2019","102","8","0","3","4","0","3","18","79","2","3"
"00194900","Washburn University","2019","102","4","0","1","2","0","4","11","87","1","3"
"00198903","University of Kentucky","2019","164","13","1","1","9","0","0","24","133","1","6"
"00199900","University of Louisville","2019","108","2","2","5","10","0","2","21","86","0","1"
"00201000","Louisiana State University","2019","207","13","0","3","6","0","4","26","173","3","5"
"00201600","Loyola University-New Orleans","2019","148","23","2","3","21","0","6","55","89","2","2"
"00202500","Southern University","2019","159","5","0","0","104","0","5","114","44","0","1"
"00202900","Tulane University","2019","175","11","5","6","10","0","4","36","130","6","3"
"00205400","University of Maine","2019","76","3","0","1","4","0","0","8","68","0","0"
"00210200","University of Baltimore","2019","193","5","0","12","43","0","6","66","115","3","9"
"00210400","University of Maryland","2019","192","8","4","20","28","0","4","64","125","3","0"
"00212801","Boston College","2019","247","19","1","29","5","0","6","60","157","22","8"
"00213007","Boston University","2019","254","32","0","17","11","1","9","70","168","11","5"
"00215510","Harvard University","2019","599","65","1","64","32","1","27","190","294","84","31"
"00219900","Northeastern University","2019","210","35","0","16","18","1","12","82","117","5","6"
"00221007","University of Massachusetts Dartmouth","2019","46","9","0","3","4","1","1","18","24","1","3"
"00221810","Suffolk University","2019","320","24","0","12","17","0","9","62","232","12","14"
"00222600","Western New England University","2019","55","3","1","3","5","0","0","12","40","0","3"
"00225400","Michigan State University","2019","232","14","5","12","13","0","10","54","165","0","13"
"00232300","University of Detroit Mercy","2019","155","2","0","2","12","0","1","17","69","69","0"
"00232503","University of Michigan","2019","307","18","2","23","11","0","14","68","198","19","22"
"00232902","Wayne State University","2019","133","1","0","2","12","0","2","17","105","1","10"
"00234500","University of St. Thomas (Minnesota)","2019","132","3","0","4","11","0","4","22","104","5","1"
"00239101","Mitchell Hamline School of Law","2019","297","18","3","15","11","0","13","60","213","8","16"
"00241501","Mississippi College","2019","119","2","0","2","21","0","2","27","71","1","20"
"00244000","University of Mississippi","2019","107","2","0","0","13","0","2","17","90","0","0"
"00250609","Saint Louis University","2019","164","6","0","5","10","0","9","30","132","0","2"
"00251600","University of Missouri","2019","92","3","0","1","7","0","3","14","73","0","5"
"00251800","University of Missouri-Kansas City","2019","138","11","1","2","10","0","2","26","100","5","7"
"00252000","Washington University","2019","235","12","0","16","24","0","7","59","137","23","16"
"00253600","University of Montana","2019","71","1","0","1","1","0","0","3","63","0","5"
"00254200","Creighton University","2019","88","10","4","0","2","0","2","18","70","0","0"
"00256500","University of Nebraska","2019","117","8","0","3","3","0","0","14","100","0","3"
"00256900","University of Nevada - Las Vegas","2019","121","21","0","5","9","0","6","41","75","1","4"
"00258903","University of New Hampshire","2019","60","1","0","1","1","0","4","7","48","2","3"
"00262900","Rutgers University","2019","318","49","2","25","23","0","6","105","206","1","6"
