"schoolid","schoolname","cohort","lt_emp","bar_ftlt","bar_ftst","bar_ptlt","bar_ptst","bar_emp","jda_ftlt","jda_ftst","jda_ptlt","jda_ptst","jda_emp","prof_ftlt","prof_ftst","prof_ptlt","prof_ptst","prof_emp","nprof_ftlt","nprof_ftst","nprof_ptlt","nprof_ptst","nprof_emp","undet_ftlt","undet_ftst","undet_ptlt","undet_ptst","undet_emp","gradsch_ft","emp_def","unemp_ns","unemp_seek","emp_stat_unk","total_grads","fundbar_ftlt","fundbar_ftst","fundbar_ptlt","fundbar_ptst","fundbar_emp","lawfund_lt","lawfund_st","fundjda_ftlt","fundjda_ftst","fundjda_ptlt","fundjda_ptst","fundjda_emp","fundprof_ftlt","fundprof_ftst","fundprof_ptlt","fundprof_ptst","fundprof_emp","fundnprof_ftlt","fundnprof_ftst","fundnprof_ptlt","fundnprof_ptst","fundnprof_emp","funded_ftlt","funded_ftst","funded_ptlt","funded_ptst","funded_emp","solo_ftlt","solo_ftst","solo_ptlt","solo_ptst","solo_emp","solo_lt","solo_st","sz_1_10_ftlt","sz_1_10_ftst","sz_1_10_ptlt","sz_1_10_ptst","sz_1_10_emp","sz_2_10_lt","sz_2_10_st","sz_11_25_ftlt","sz_11_25_ftst","sz_11_25_ptlt","sz_11_25_ptst","sz_11_25_emp","sz_11_25_lt","sz_11_25_st","sz_26_50_ftlt","sz_26_50_ftst","sz_26_50_ptlt","sz_26_50_ptst","sz_26_50_emp","sz_26_50_lt","sz_26_50_st","sz_51_100_ftlt","sz_51_100_ftst","sz_51_100_ptlt","sz_51_100_ptst","sz_51_100_emp","sz_51_100_lt","sz_51_100_st","sz_101_250_ftlt","sz_101_250_ftst","sz_101_250_ptlt","sz_101_250_ptst","sz_101_250_emp","sz_101_250_lt","sz_101_250_st","sz_251_500_ftlt","sz_251_500_ftst","sz_251_500_ptlt","sz_251_500_ptst","sz_251_500_emp","sz_251_500_lt","sz_251_500_st","sz_501up_ftlt","sz_501up_ftst","sz_501up_ptlt","sz_501up_ptst","sz_501up_emp","sz_501up_lt","sz_501up_st","sz_unk_ftlt","sz_unk_ftst","sz_unk_ptlt","sz_unk_ptst","sz_unk_emp","sz_unk_lt","sz_unk_st","bsind_ftlt","bsind_ftst","bsind_ptlt","bsind_ptst","bsind_emp","bsind_lt","bsind_st","gov_ftlt","gov_ftst","gov_ptlt","gov_ptst","gov_emp","gov_lt","gov_st","pub_ftlt","pub_ftst","pub_ptlt","pub_ptst","pub_emp","pub_lt","pub_st","fedclk_ftlt","fedclk_ftst","fedclk_ptlt","fedclk_ptst","fedclk_emp","fedclk_lt","fedclk_st","locclk_ftlt","locclk_ftst","locclk_ptlt","locclk_ptst","locclk_emp","locclk_lt","locclk_st","othclk_ftlt","othclk_ftst","othclk_ptlt","othclk_ptst","othclk_emp","acad_ftlt","acad_ftst","acad_ptlt","acad_ptst","acad_emp","acad_lt","acad_st","unk_ftlt","unk_ftst","unk_ptlt","unk_ptst","unk_emp","total_ftlt","total_ftst","total_ptlt","total_ptst","total_emp_type","total_lt","total_st","state_emp1","state_emp1_num","state_emp2","state_emp2_num","state_emp3","state_emp3_num","foreign_emp_num"
"00100300","Faulkner University","2019","","42","1","3","0","46","4","2","0","0","6","2","0","0","0","2","0","0","1","0","1","0","0","0","0","0","1","1","0","10","0","67","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","7","","","14","2","1","0","17","","","4","0","0","0","4","","","2","0","0","0","2","","","0","0","0","0","0","","","2","0","0","0","2","","","0","0","0","0","0","","","0","0","0","0","0","","","0","0","0","0","0","","","4","1","1","0","6","","","9","0","0","0","9","","","4","0","0","0","4","","","0","0","0","0","0","","","2","0","0","0","2","","","0","0","0","0","0","2","0","0","0","2","","","0","0","0","0","0","48","3","4","0","55","","","AL","39","GA","5","NC","2","0"
"00103600","Samford University","2019","","103","0","1","0","104","7","0","1","0","8","3","0","1","0","4","0","0","0","0","0","0","0","0","0","0","5","3","0","7","2","133","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","41","0","2","0","43","","","14","0","0","0","14","","","7","0","0","0","7","","","3","0","0","0","3","","","4","0","0","0","4","","","3","0","0","0","3","","","2","0","0","0","2","","","0","0","0","0","0","","","11","0","1","0","12","","","10","0","0","0","10","","","6","0","0","0","6","","","4","0","0","0","4","","","7","0","0","0","7","","","0","0","0","0","0","1","0","0","0","1","","","0","0","0","0","0","113","0","3","0","116","","","AL","83","FL","9","GA","8","0"
"00105100","University of Alabama","2019","","107","1","0","1","109","12","0","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","7","0","133","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","","","18","0","0","0","18","","","9","0","0","1","10","","","5","0","0","0","5","","","5","0","0","0","5","","","6","0","0","0","6","","","8","0","0","0","8","","","13","0","0","0","13","","","0","0","0","0","0","","","14","1","0","1","16","","","18","0","0","0","18","","","2","0","0","0","2","","","11","0","0","0","11","","","4","0","0","0","4","","","0","0","0","0","0","4","0","0","0","4","","","0","0","0","0","0","119","1","0","2","122","","","AL","60","TX","10","GA","8","0"
"00108100","Arizona State University","2019","","221","1","0","0","222","30","3","0","0","33","3","1","1","0","5","1","0","1","1","3","0","0","0","0","0","5","1","3","7","3","282","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","71","1","0","0","72","","","13","0","0","0","13","","","4","0","0","0","4","","","7","0","0","0","7","","","10","0","0","0","10","","","11","0","0","0","11","","","11","0","0","0","11","","","0","0","0","0","0","","","23","2","2","1","28","","","35","0","0","0","35","","","23","0","0","0","23","","","6","0","0","0","6","","","30","1","0","0","31","","","0","0","0","0","0","11","1","0","0","12","","","0","0","0","0","0","255","5","2","1","263","","","AZ","206","CA","13","TX","8","1"
"00108300","University of Arizona","2019","","83","0","1","0","84","16","1","2","1","20","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","4","0","1","10","0","121","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","11","0","2","1","14","","","14","0","0","0","14","","","3","0","0","0","3","","","2","0","0","0","2","","","4","0","0","0","4","","","0","0","0","0","0","","","3","0","0","0","3","","","2","0","1","0","3","","","9","0","0","0","9","","","18","0","0","0","18","","","9","1","0","0","10","","","3","0","0","0","3","","","21","0","0","0","21","","","0","0","0","0","0","2","0","0","0","2","","","0","0","0","0","0","101","1","3","1","106","","","AZ","67","IL","5","NM","4","6"
"00110101","University of Arkansas-Little Rock","2019","","73","1","5","1","80","13","0","2","3","18","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","4","1","0","8","3","121","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","3","","","35","0","4","2","41","","","7","0","0","0","7","","","4","0","0","0","4","","","1","0","0","0","1","","","0","0","0","0","0","","","0","0","0","0","0","","","0","0","0","0","0","","","0","0","0","0","0","","","13","0","0","0","13","","","15","0","2","2","19","","","12","0","0","0","12","","","2","1","0","0","3","","","2","0","0","0","2","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","93","1","7","4","105","","","AR","81","TX","4","CO","2","0"
"00110800","University of Arkansas-Fayetteville","2019","","62","1","1","0","64","18","2","1","0","21","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","2","1","9","1","104","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4","","","29","0","2","0","31","","","4","0","0","0","4","","","5","0","0","0","5","","","1","0","0","0","1","","","2","0","0","0","2","","","1","0","0","0","1","","","4","0","0","0","4","","","0","0","0","0","0","","","23","3","0","0","26","","","5","0","0","0","5","","","2","0","0","0","2","","","3","0","0","0","3","","","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","83","3","2","0","88","","","AR","65","TX","10","OK","4","0"
"00116453","Chapman University","2019","","92","1","1","1","95","36","0","2","3","41","1","0","2","0","3","0","1","0","0","1","0","0","0","0","0","0","4","1","26","0","171","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","43","0","2","3","48","","","18","0","0","0","18","","","9","1","0","0","10","","","5","0","0","0","5","","","7","0","0","0","7","","","7","0","0","0","7","","","6","0","0","0","6","","","1","0","0","1","2","","","20","1","3","0","24","","","11","0","0","0","11","","","1","0","0","0","1","","","0","0","0","0","0","","","0","0","0","0","0","","","0","0","0","0","0","1","0","0","0","1","","","0","0","0","0","0","129","2","5","4","140","","","CA","135","NV","1","NJ","1","0"
"00120529","Golden Gate University","2019","","37","2","2","1","42","15","0","1","2","18","2","0","0","0","2","2","0","0","0","2","0","1","0","0","1","1","2","4","23","10","107","1","0","0","0","1","","","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","3","0","0","1","4","","","10","0","2","1","13","","","6","0","0","0","6","","","7","0","0","0","7","","","1","0","0","0","1","","","0","0","0","0","0","","","0","0","0","1","1","","","2","0","0","0","2","","","1","0","0","0","1","","","8","0","0","0","8","","","10","0","0","0","10","","","7","2","1","0","10","","","0","0","0","0","0","","","1","0","0","0","1","","","0","0","0","0","0","1","0","0","0","1","","","1","1","0","0","2","58","3","3","3","67","","","CA","51","NY","2","TX","2","0"
"00129500","Southwestern Law School","2019","","92","1","0","1","94","37","0","6","0","43","18","0","3","0","21","2","0","0","0","2","0","0","0","0","0","5","0","8","21","2","200","0","0","0","0","0","","","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","4","0","0","0","4","","","57","0","3","0","60","","","11","0","0","0","11","","","8","0","0","0","8","","","1","0","0","0","1","","","2","0","0","0","2","","","1","0","0","0","1","","","3","0","0","0","3","","","1","0","0","1","2","","","38","1","3","0","42","","","12","0","1","0","13","","","7","4","0","0","11","","","1","0","0","0","1","","","3","0","0","0","3","","","0","0","0","0","0","0","0","2","0","2","","","0","0","0","0","0","149","5","9","1","164","","","CA","134","CO","3","NY","2","0"
