"schoolid","schoolname","calendaryear","totaljd","hispanicjd","amindianjd","asianjd","blackjd","nathawjd","twoormorejd","minorityjd","whitejd","nonresalienjd","unknownjd","menjd","hispanicmenjd","amindianmenjd","asianmenjd","blackmenjd","nathawmenjd","twoormoremenjd","minoritymenjd","whitemenjd","nonresalienmenjd","unknownmenjd","womenjd","hispanicwomenjd","amindianwomenjd","asianwomenjd","blackwomenjd","nathawwomenjd","twoormorewomenjd","minoritywomenjd","whitewomenjd","nonresalienwomenjd","unknownwomenjd","otherjd","hispanicotherjd","amindianotherjd","asianotherjd","blackotherjd","nathawotherjd","twoormoreotherjd","minorityotherjd","whiteotherjd","nonresalienotherjd","unknownotherjd","totalftjd","fthispanicjd","ftamindjd","ftasianjd","ftblackjd","ftnathawjd","fttwoormorejd","ftminorityjd","ftwhitejd","ftnonresalienjd","ftunknownjd","totalptjd","pthispanicjd","ptamindjd","ptasianjd","ptblackjd","ptnathawjd","pttwoormorejd","ptminorityjd","ptwhitejd","ptnonresalienjd","ptunknownjd","totaljd1","hispanicjd1","amindianjd1","asianjd1","blackjd1","nathawjd1","twoormorejd1","minorityjd1","whitejd1","nonresalienjd1","unknownjd1","amindianmenjd1","amindianotherjd1","amindianwomenjd1","asianmenjd1","asianotherjd1","asianwomenjd1","blackmenjd1","blackotherjd1","blackwomenjd1","hispanicmenjd1","hispanicotherjd1","hispanicwomenjd1","minoritymenjd1","minorityotherjd1","minoritywomenjd1","nathawmenjd1","nathawotherjd1","nathawwomenjd1","nonresalienmenjd1","nonresalienotherjd1","nonresalienwomenjd1","twoormoremenjd1","twoormoreotherjd1","twoormorewomenjd1","unknownmenjd1","unknownotherjd1","unknownwomenjd1","whitemenjd1","whiteotherjd1","whitewomenjd1","menjd1","otherjd1","womenjd1","totaljd2","amindianjd2","amindianmenjd2","amindianotherjd2","amindianwomenjd2","asianjd2","asianmenjd2","asianotherjd2","asianwomenjd2","blackjd2","blackmenjd2","blackotherjd2","blackwomenjd2","hispanicjd2","hispanicmenjd2","hispanicotherjd2","hispanicwomenjd2","minorityjd2","minoritymenjd2","minorityotherjd2","minoritywomenjd2","nathawjd2","nathawmenjd2","nathawotherjd2","nathawwomenjd2","nonresalienjd2","nonresalienmenjd2","nonresalienotherjd2","nonresalienwomenjd2","twoormorejd2","twoormoremenjd2","twoormoreotherjd2","twoormorewomenjd2","unknownjd2","unknownmenjd2","unknownotherjd2","unknownwomenjd2","whitejd2","whitemenjd2","whiteotherjd2","whitewomenjd2","menjd2","otherjd2","womenjd2","totaljd3","amindianjd3","amindianmenjd3","amindianotherjd3","amindianwomenjd3","asianjd3","asianmenjd3","asianotherjd3","asianwomenjd3","blackjd3","blackmenjd3","blackotherjd3","blackwomenjd3","hispanicjd3","hispanicmenjd3","hispanicotherjd3","hispanicwomenjd3","minorityjd3","minoritymenjd3","minorityotherjd3","minoritywomenjd3","nathawjd3","nathawmenjd3","nathawotherjd3","nathawwomenjd3","nonresalienjd3","nonresalienmenjd3","nonresalienotherjd3","nonresalienwomenjd3","twoormorejd3","twoormoremenjd3","twoormoreotherjd3","twoormorewomenjd3","unknownjd3","unknownmenjd3","unknownotherjd3","unknownwomenjd3","whitejd3","whitemenjd3","whiteotherjd3","whitewomenjd3","menjd3","otherjd3","womenjd3","totaljd4","amindianjd4","amindianmenjd4","amindianotherjd4","amindianwomenjd4","asianjd4","asianmenjd4","asianotherjd4","asianwomenjd4","blackjd4","blackmenjd4","blackotherjd4","blackwomenjd4","hispanicjd4","hispanicmenjd4","hispanicotherjd4","hispanicwomenjd4","minorityjd4","minoritymenjd4","minorityotherjd4","minoritywomenjd4","nathawjd4","nathawmenjd4","nathawotherjd4","nathawwomenjd4","nonresalienjd4","nonresalienmenjd4","nonresalienotherjd4","nonresalienwomenjd4","twoormorejd4","twoormoremenjd4","twoormoreotherjd4","twoormorewomenjd4","unknownjd4","unknownmenjd4","unknownotherjd4","unknownwomenjd4","whitejd4","whitemenjd4","whiteotherjd4","whitewomenjd4","menjd4","otherjd4","womenjd4"
"00100300","Faulkner University","2019","176","11","1","4","22","0","4","42","129","1","4","96","3","1","2","11","0","3","20","73","0","3","80","8","0","2","11","0","1","22","56","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","65","4","0","3","4","0","2","13","49","0","3","0","0","0","1","0","2","3","0","1","2","0","2","7","0","6","0","0","0","0","0","0","1","0","1","3","0","0","28","0","21","38","0","27","56","1","1","0","0","1","1","0","0","9","2","0","7","3","1","0","2","15","6","0","9","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","40","22","0","18","28","0","28","55","0","0","0","0","0","0","0","0","9","6","0","3","4","0","0","4","14","7","0","7","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","40","23","0","17","30","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00103600","Samford University","2019","437","14","1","5","40","2","1","63","360","2","12","211","8","1","1","16","0","1","27","176","0","8","226","6","0","4","24","2","0","36","184","2","4","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","161","5","0","1","14","0","1","21","136","2","2","0","0","0","0","0","1","6","0","8","2","0","3","9","0","12","0","0","0","0","0","2","1","0","0","2","0","0","61","0","75","72","0","89","135","0","0","0","0","2","1","0","1","14","7","0","7","4","3","0","1","20","11","0","9","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","3","109","55","0","54","69","0","66","141","1","1","0","0","2","0","0","2","12","3","0","9","5","3","0","2","22","7","0","15","2","0","0","2","0","0","0","0","0","0","0","0","4","3","0","1","115","60","0","55","70","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00105100","University of Alabama","2019","379","20","1","6","36","0","9","72","295","2","10","198","10","1","1","14","0","8","34","157","2","5","180","10","0","5","22","0","1","38","138","0","4","1","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","135","6","0","4","14","0","2","26","104","1","4","0","0","0","0","0","4","3","0","11","1","0","5","6","0","20","0","0","0","1","0","0","2","0","0","2","1","1","54","0","50","63","1","71","118","1","1","0","0","1","1","0","0","11","5","0","6","7","4","0","3","23","13","0","10","0","0","0","0","1","1","0","0","3","2","0","1","4","2","0","2","90","47","0","43","63","0","55","126","0","0","0","0","1","0","0","1","11","6","0","5","7","5","0","2","23","15","0","8","0","0","0","0","0","0","0","0","4","4","0","0","2","1","0","1","101","56","0","45","72","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00108100","Arizona State University","2019","812","87","19","35","16","2","38","197","561","22","32","415","42","7","17","7","0","18","91","290","11","23","396","45","12","18","9","2","20","106","270","11","9","1","0","0","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","273","33","6","12","7","0","18","76","181","11","5","3","0","3","6","0","6","2","0","5","12","0","21","29","0","47","0","0","0","5","0","6","6","0","12","5","0","0","90","1","90","129","1","143","271","4","2","0","2","10","5","0","5","4","2","0","2","23","8","0","15","49","21","0","28","0","0","0","0","6","3","0","3","8","4","0","4","18","12","0","6","198","107","0","91","143","0","128","268","9","2","0","7","13","6","0","7","5","3","0","2","31","22","0","9","72","41","0","31","2","0","0","2","5","3","0","2","12","8","0","4","9","6","0","3","182","93","0","89","143","0","125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00108300","University of Arizona","2019","375","47","16","11","8","3","14","99","232","44","0","209","22","4","8","5","2","9","50","135","24","0","166","25","12","3","3","1","5","49","97","20","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","157","14","5","5","5","0","6","35","101","21","0","2","0","3","3","0","2","4","0","1","8","0","6","21","0","14","0","0","0","9","0","12","4","0","2","0","0","0","57","0","44","87","0","70","128","4","1","0","3","0","0","0","0","2","1","0","1","20","10","0","10","35","17","0","18","2","1","0","1","18","12","0","6","7","4","0","3","0","0","0","0","75","47","0","28","76","0","52","90","7","1","0","6","6","5","0","1","1","0","0","1","13","4","0","9","29","12","0","17","1","0","0","0","5","3","0","2","1","1","0","0","0","0","0","0","56","31","0","25","46","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00110101","University of Arkansas-Little Rock","2019","441","23","11","14","31","0","0","79","350","3","9","221","12","5","5","9","0","0","31","186","0","4","220","11","6","9","22","0","0","48","164","3","5","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","156","6","4","5","7","0","0","22","129","1","4","3","0","1","2","0","3","2","0","5","3","0","3","10","0","12","0","0","0","0","0","1","0","0","0","2","0","2","68","0","61","80","0","76","133","4","2","0","2","3","1","0","2","12","5","0","7","8","4","0","4","27","12","0","15","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","2","103","51","0","52","64","0","69","134","3","0","0","3","6","2","0","4","12","2","0","10","9","5","0","4","30","9","0","21","0","0","0","0","2","0","0","2","0","0","0","0","2","1","0","1","100","56","0","44","66","0","68","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","11","0","7","11","0","7"
"00110800","University of Arkansas-Fayetteville","2019","341","15","7","4","13","0","12","51","287","0","3","187","9","5","2","9","0","5","30","155","0","2","154","6","2","2","4","0","7","21","132","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","113","7","1","1","4","0","2","15","95","0","3","1","0","0","1","0","0","3","0","1","5","0","2","10","0","5","0","0","0","0","0","0","0","0","2","2","0","1","50","0","45","62","0","51","113","2","2","0","0","0","0","0","0","5","4","0","1","3","2","0","1","14","9","0","5","0","0","0","0","0","0","0","0","4","1","0","3","0","0","0","0","99","51","0","48","60","0","53","115","4","2","0","2","3","1","0","2","4","2","0","2","5","2","0","3","22","11","0","11","0","0","0","0","0","0","0","0","6","4","0","2","0","0","0","0","93","54","0","39","65","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00116453","Chapman University","2019","460","108","0","48","6","0","31","193","221","7","39","187","43","0","18","3","0","9","73","92","1","21","273","65","0","30","3","0","22","120","129","6","18","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","150","38","0","13","4","0","7","62","81","3","4","0","0","0","4","0","9","1","0","3","18","0","20","26","0","36","0","0","0","0","0","3","3","0","4","3","0","1","37","0","44","66","0","84","151","0","0","0","0","19","10","0","9","0","0","0","0","36","15","0","21","65","27","0","38","0","0","0","0","2","1","0","1","10","2","0","8","20","11","0","9","64","23","0","41","62","0","89","159","0","0","0","0","16","4","0","12","2","2","0","0","34","10","0","24","66","20","0","46","0","0","0","0","2","0","0","2","14","4","0","10","15","7","0","8","76","32","0","44","59","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00120529","Golden Gate University","2019","489","136","2","50","59","4","32","283","156","28","22","198","57","1","15","20","3","9","105","76","7","10","291","79","1","35","39","1","23","178","80","21","12","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","131","36","1","19","11","2","5","74","40","7","10","1","0","0","7","0","12","3","0","8","13","0","23","28","0","46","1","0","1","1","0","6","3","0","2","5","0","5","23","0","17","57","0","74","207","0","0","0","0","16","4","0","12","29","10","0","19","53","20","0","33","116","40","0","76","0","0","0","0","14","6","0","8","18","6","0","12","9","3","0","6","68","34","0","34","83","0","124","134","1","0","0","1","13","4","0","9","17","7","0","10","40","22","0","18","81","34","0","47","1","1","0","0","7","0","0","7","9","0","0","9","2","1","0","1","44","16","0","28","51","0","83","17","0","0","0","0","2","0","0","2","2","0","0","2","7","2","0","5","12","3","0","9","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","4","3","0","1","7","0","10"
"00121601","University of La Verne","2019","288","116","0","28","22","1","13","180","82","10","16","121","52","0","10","12","0","5","79","32","5","5","167","64","0","18","10","1","8","101","50","5","11","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","98","41","0","8","7","0","5","61","26","6","5","0","0","0","5","0","3","3","0","4","26","0","15","35","0","26","0","0","0","3","0","3","1","0","4","4","0","1","11","0","15","53","0","45","89","0","0","0","0","10","3","0","7","5","3","0","2","41","12","0","29","60","20","0","40","0","0","0","0","2","0","0","2","4","2","0","2","4","1","0","3","23","10","0","13","31","0","58","75","0","0","0","0","6","2","0","4","6","4","0","2","28","12","0","16","43","20","0","23","0","0","0","0","2","2","0","0","3","2","0","1","4","0","0","4","26","8","0","18","30","0","45","26","0","0","0","0","4","0","0","4","4","2","0","2","6","2","0","4","16","4","0","12","1","0","0","1","0","0","0","0","1","0","0","1","3","0","0","3","7","3","0","4","7","0","19"
