"schoolid","schoolname","calendaryear","academicyear","factotal","facmen","facwomen","facother","facminority","ftfactotal","ftfacmen","ftfacwomen","ftfacother","ftfacminority","nonftfactotal","nonftfacmen","nonftfacwomen","nonftfacother","nonftfacminority","totallibrarian","ftlibrarian","ptlibrarian","totaladmin","ftadmin","ptadmin"
"00100300","Faulkner University","2019","2018","30","20","10","0","4","21","15","6","0","3","9","5","4","0","1","4","4","0","12","11","1"
"00103600","Samford University","2019","2018","48","33","15","0","6","19","12","7","0","4","29","21","8","0","2","7","7","0","14","14","0"
"00105100","University of Alabama","2019","2018","101","68","33","0","15","45","24","21","0","12","56","44","12","0","3","9","8","1","12","12","0"
"00108100","Arizona State University","2019","2018","205","141","64","0","37","67","40","27","0","17","138","101","37","0","20","4","4","0","32","28","4"
"00108300","University of Arizona","2019","2018","139","77","62","0","25","47","20","27","0","12","92","57","35","0","13","5","5","0","28","28","0"
"00110101","University of Arkansas-Little Rock","2019","2018","90","43","47","0","12","28","12","16","0","6","62","31","31","0","6","6","6","0","9","9","0"
"00110800","University of Arkansas-Fayetteville","2019","2018","74","41","33","0","8","37","18","19","0","6","37","23","14","0","2","4","4","0","1","1","0"
"00116453","Chapman University","2019","2018","118","68","50","0","19","42","24","18","0","7","76","44","32","0","12","6","6","0","0","0","0"
"00120529","Golden Gate University","2019","2018","136","72","64","0","29","32","13","19","0","8","104","59","45","0","21","4","4","0","22","22","0"
"00121601","University of La Verne","2019","2018","62","33","29","0","20","25","11","14","0","7","37","22","15","0","13","1","1","0","10","10","0"
"00129500","Southwestern Law School","2019","2018","140","74","66","0","40","56","27","29","0","12","84","47","37","0","28","6","6","0","33","33","0"
"00130503","Stanford University","2019","2018","204","124","80","0","39","106","58","48","0","22","98","66","32","0","17","14","14","0","31","31","0"
"00131273","University of California-Berkeley","2019","2018","291","170","120","1","53","79","42","37","0","18","212","128","83","1","35","9","9","0","10","10","0"
"00131373","University of California-Davis","2019","2018","121","71","50","0","39","42","24","18","0","20","79","47","32","0","19","6","6","0","22","22","0"
"00131400","University of California-Irvine","2019","2018","130","60","70","0","27","57","27","30","0","10","73","33","40","0","17","9","9","0","28","27","1"
"00131500","University of California-Los Angeles","2019","2018","213","120","93","0","49","113","65","48","0","25","100","55","45","0","24","18","18","0","16","16","0"
"00132500","University of San Francisco","2019","2018","91","47","44","0","24","40","15","25","0","13","51","32","19","0","11","5","5","0","15","15","0"
"00132600","Santa Clara University","2019","2018","187","87","88","12","38","52","24","28","0","17","135","63","60","12","21","5","5","0","4","3","1"
"00132800","University of Southern California","2019","2018","186","123","63","0","27","51","27","24","0","9","135","96","39","0","18","9","9","0","28","28","0"
"00132901","McGeorge School of Law","2019","2018","102","65","37","0","9","39","25","14","0","5","63","40","23","0","4","4","3","1","17","12","5"
"00137000","University of Colorado","2019","2018","122","75","46","1","24","62","32","30","0","16","60","43","16","1","8","10","10","0","19","16","3"
"00137100","University of Denver","2019","2018","150","86","64","0","24","66","30","36","0","15","84","56","28","0","9","9","7","2","4","2","2"
"00140201","Quinnipiac University","2019","2018","100","63","37","0","8","31","19","12","0","4","69","44","25","0","4","6","4","2","10","10","0"
"00141706","University of Connecticut","2019","2018","159","103","56","0","21","49","28","21","0","9","110","75","35","0","12","9","9","0","11","11","0"
