"schoolid","schoolname","calendaryear","academicyear","condscholind","numenteringcondschol","numeliminatedcondschol","numstudents","ftnumstudents","ptnumstudents","totalrecvgrant","totalrecvgrantp","ftrecvgrant","ptrecvgrant","totalgrantlthalf","totalgrantlthalfp","ftgrantlthalf","ptgrantlthalf","totalgrantalhalf","totalgrantalhalfp","ftgrantalhalf","ptgrantalhalf","totalgrantfull","totalgrantfullp","ftgrantfull","ptgrantfull","totalgrantgtfull","totalgrantgtfullp","ftgrantgtfull","ptgrantgtfull","ftgrantamt75","ptgrantamt75","ftgrantamtmedian","ptgrantamtmedian","ftgrantamt25","ptgrantamt25"
"00100300","Faulkner University","2019","2018","Y","56","4","185","185","0","153","82.7","153","","66","35.7","66","","70","37.8","70","","17","9.2","17","","0","0.0","0","","31200","","19500","","11700",""
"00103600","Samford University","2019","2018","Y","137","19","422","422","0","371","87.9","371","","268","63.5","268","","100","23.7","100","","0","0.0","0","","3","0.7","3","","21500","","14200","","9300",""
"00105100","University of Alabama","2019","2018","N","","","381","381","0","292","76.6","292","","83","21.8","83","","137","36.0","137","","7","1.8","7","","65","17.1","65","","30000","","22100","","12000",""
"00108100","Arizona State University","2019","2018","N","","","819","819","0","623","76.1","623","","416","50.8","416","","126","15.4","126","","57","7.0","57","","24","2.9","24","","27388","","15000","","6668",""
"00108300","University of Arizona","2019","2018","N","","","341","341","0","300","88.0","300","","93","27.3","93","","134","39.3","134","","31","9.1","31","","42","12.3","42","","29000","","24500","","12250",""
"00110101","University of Arkansas-Little Rock","2019","2018","Y","99","34","431","330","101","294","68.2","221","73","109","25.3","79","30","140","32.5","108","32","38","8.8","27","11","7","1.6","7","0","13352","9791","10014","6676","3338","2225"
"00110800","University of Arkansas-Fayetteville","2019","2018","Y","54","29","342","342","0","170","49.7","169","","99","28.9","98","","60","17.5","60","","0","0.0","0","","11","3.2","11","","12320","","8000","","2000",""
"00116453","Chapman University","2019","2018","Y","118","57","491","491","0","277","56.4","269","","76","15.5","72","","194","39.5","190","","0","0.0","0","","7","1.4","7","","53124","","47742","","23100",""
"00120529","Golden Gate University","2019","2018","Y","108","66","533","432","101","398","74.7","351","47","135","25.3","126","9","131","24.6","107","24","45","8.4","33","12","87","16.3","85","2","49500","36300","34500","30000","15000","20000"
"00121601","University of La Verne","2019","2018","N","","","285","199","86","45","15.8","34","11","45","15.8","34","11","0","0.0","0","0","0","0.0","0","0","0","0.0","0","0","3271","2500","2500","2500","1800","1000"
"00129500","Southwestern Law School","2019","2018","Y","122","57","718","518","200","386","53.8","286","100","242","33.7","182","60","128","17.8","93","35","10","1.4","8","2","6","0.8","3","3","33334","21993","25340","13895","15000","4625"
"00130503","Stanford University","2019","2018","N","","","565","565","0","316","55.9","316","","137","24.2","137","","165","29.2","165","","1","0.2","1","","13","2.3","13","","44756","","32072","","20440",""
"00131273","University of California-Berkeley","2019","2018","N","","","982","982","0","668","68.0","668","","324","33.0","324","","315","32.1","315","","0","0.0","0","","29","3.0","29","","32500","","25000","","15000",""
"00131373","University of California-Davis","2019","2018","N","","","530","530","0","465","87.7","465","","133","25.1","133","","291","54.9","291","","0","0.0","0","","41","7.7","41","","40000","","30000","","20000",""
"00131400","University of California-Irvine","2019","2018","N","","","514","514","0","493","95.9","493","","385","74.9","385","","103","20.0","103","","5","1.0","5","","0","0.0","0","","25000","","20000","","17000",""
"00131500","University of California-Los Angeles","2019","2018","N","","","955","955","0","783","82.0","783","","560","58.6","560","","206","21.6","206","","12","1.3","12","","5","0.5","5","","25000","","20000","","13733",""
"00132500","University of San Francisco","2019","2018","Y","77","31","399","336","63","271","67.9","237","34","70","17.5","62","8","182","45.6","157","25","16","4.0","15","1","3","0.8","3","0","37000","31150","30000","26000","20000","14000"
"00132600","Santa Clara University","2019","2018","Y","150","59","718","718","0","419","58.4","394","","284","39.6","266","","122","17.0","119","","13","1.8","9","","0","0.0","0","","30000","","25000","","10000",""
"00132800","University of Southern California","2019","2018","N","","","614","614","0","598","97.4","598","","313","51.0","313","","277","45.1","277","","3","0.5","3","","5","0.8","5","","40000","","31000","","25000",""
"00132901","McGeorge School of Law","2019","2018","Y","133","49","511","402","109","460","90.0","372","88","248","48.5","187","61","135","26.4","118","17","67","13.1","62","5","10","2.0","5","5","48970","20054","25556","11000","6000","6600"
"00137000","University of Colorado","2019","2018","N","","","512","512","0","420","82.0","420","","282","55.1","282","","120","23.4","120","","5","1.0","5","","13","2.5","13","","18500","","11500","","10000",""
"00137100","University of Denver","2019","2018","Y","144","13","756","654","102","446","59.0","398","48","236","31.2","219","17","158","20.9","135","23","52","6.9","44","8","0","0.0","0","0","34000","25500","25000","19061","17000","12375"
"00140201","Quinnipiac University","2019","2018","Y","73","30","331","264","67","267","80.7","219","48","119","36.0","85","34","118","35.6","104","14","30","9.1","30","0","0","0.0","0","0","35000","20000","30000","12000","15000","6500"
"00141706","University of Connecticut","2019","2018","N","","","415","325","90","337","81.2","287","50","144","34.7","107","37","174","41.9","161","13","19","4.6","19","0","0","0.0","0","0","22053","10500","14702","10000","7500","5000"
"00142600","Yale University","2019","2018","N","","","621","621","0","373","60.1","373","","227","36.6","227","","146","23.5","146","","0","0.0","0","","0","0.0","0","","36902","","28005","","20444",""
"00143401","American University","2019","2018","Y","9","0","1316","1097","219","794","60.3","664","130","200","15.2","176","24","535","40.7","432","103","59","4.5","56","3","0","0.0","0","0","35000","30000","30000","30000","25000","25000"
"00143711","Catholic University of America","2019","2018","Y","22","3","377","255","122","353","93.6","242","111","229","60.7","161","68","71","18.8","44","27","50","13.3","35","15","3","0.8","2","1","30000","25000","14000","13125","7500","6250"
"00144102","District of Columbia","2019","2018","Y","41","7","218","103","115","155","71.1","75","80","59","27.1","30","29","72","33.0","34","38","24","11.0","11","13","0","0.0","0","0","17939","11000","8879","6888","5000","4010"
"00144402","George Washington University","2019","2018","N","","","1531","1367","164","1165","76.1","1106","59","720","47.0","685","35","405","26.5","388","17","40","2.6","33","7","0","0.0","0","0","35000","25000","25000","16000","18000","10000"
"00144503","Georgetown University","2019","2018","N","","","2008","1788","220","1171","58.3","1097","74","763","38.0","695","68","389","19.4","385","4","19","0.9","17","2","0","0.0","0","0","37300","15000","25000","12500","15000","7500"
"00144802","Howard University","2019","2018","Y","56","17","414","414","0","172","41.5","172","","71","17.1","71","","80","19.3","80","","0","0.0","0","","21","5.1","21","","28719","","17822","","9056",""
