"schoolid","schoolname","calendaryear","transin","transout","transout1l","transjd1gpa75","transjd1gpa50","transjd1gpa25"
"00100300","Faulkner University","2019","2","","2","0.00","0.00","0.00"
"00103600","Samford University","2019","0","","9","0.00","0.00","0.00"
"00105100","University of Alabama","2019","8","","1","0.00","3.48","0.00"
"00108100","Arizona State University","2019","22","","4","3.35","3.29","3.11"
"00108300","University of Arizona","2019","0","","0","0.00","0.00","0.00"
"00110101","University of Arkansas-Little Rock","2019","3","","5","0.00","0.00","0.00"
"00110800","University of Arkansas-Fayetteville","2019","3","","3","0.00","0.00","0.00"
"00116453","Chapman University","2019","9","","4","0.00","3.23","0.00"
"00120529","Golden Gate University","2019","3","","31","0.00","0.00","0.00"
"00121601","University of La Verne","2019","0","","2","0.00","0.00","0.00"
"00129500","Southwestern Law School","2019","8","","11","0.00","3.11","0.00"
"00130503","Stanford University","2019","6","","0","0.00","3.89","0.00"
"00131273","University of California-Berkeley","2019","24","","0","3.97","3.77","3.71"
"00131373","University of California-Davis","2019","7","","8","0.00","3.45","0.00"
"00131400","University of California-Irvine","2019","2","","14","0.00","0.00","0.00"
"00131500","University of California-Los Angeles","2019","34","","4","3.76","3.63","3.56"
"00132500","University of San Francisco","2019","4","","6","0.00","0.00","0.00"
"00132600","Santa Clara University","2019","3","","9","0.00","0.00","0.00"
"00132800","University of Southern California","2019","7","","2","0.00","3.46","0.00"
"00132901","McGeorge School of Law","2019","6","","1","0.00","2.99","0.00"
"00137000","University of Colorado","2019","0","","4","0.00","0.00","0.00"
"00137100","University of Denver","2019","5","","4","0.00","0.00","0.00"
"00140201","Quinnipiac University","2019","0","","2","0.00","0.00","0.00"
"00141706","University of Connecticut","2019","1","","3","0.00","0.00","0.00"
"00142600","Yale University","2019","15","","0","3.95","3.90","3.86"
"00143401","American University","2019","2","","49","0.00","0.00","0.00"
"00143711","Catholic University of America","2019","1","","17","0.00","0.00","0.00"
"00144102","District of Columbia","2019","1","","5","0.00","0.00","0.00"
"00144402","George Washington University","2019","74","","34","3.41","3.23","3.11"
"00144503","Georgetown University","2019","105","","5","3.77","3.67","3.56"
"00144802","Howard University","2019","0","","4","0.00","0.00","0.00"
"00146601","Barry University","2019","1","","25","0.00","0.00","0.00"
"00146800","St. Thomas University (Florida)","2019","5","","14","0.00","0.00","0.00"
"00148001","Florida A&M University","2019","0","","13","0.00","0.00","0.00"
"00148900","Florida State University","2019","13","","9","3.53","3.13","3.00"
"00150900","Nova Southeastern University","2019","8","","8","0.00","2.87","0.00"
