Order,School ID,school,USNRank,Overall,USNScore,Peer Rep,Lawyer Judge Rep,LSAT,UPGA,Student Selectivity,Employed at Graduation,Employed at 9 mos,Bar Passage,Financial Aid,Direct Expenses,Student-Faculty Ratio,Library,Peer,Lawyer/Judge,Student/Faculty,LSAT_percentile,UGPA,Acceptance,Grad Impute,employed9mo,Bar Passage,FinAid,DirExp,Library
1,3027,Yale University,1,100,2.409770621,2.826852779,2.5452757,1.614487327,0.879881183,2.573125787,2.343684167,1.471546066,1.842221115,4.138464018,5.141300858,1.606055408,2.532693058,4.8,4.8,7.6,0.9932,3.91,9,88.2,88.7,1.288157895,81813,115399,2036344
2,3074,Harvard University,2,96,2.269639533,2.826852779,2.5452757,1.614487327,0.828696599,2.215772399,2.504710749,1.900555444,1.747442833,-0.021688239,4.018127703,0.009767127,6.414654332,4.8,4.8,11.8,0.9932,3.87,15,91.5,95,1.276315789,20076.5,98197.5,3966508
3,3014,Stanford University,2,96,2.252260905,2.826852779,2.5452757,1.602693824,0.867085037,2.573125787,2.616941398,1.750742645,2.651157801,2.53360812,3.27800808,1.720075999,0.0488009,4.8,4.8,7.3,0.9907,3.9,9,93.8,92.8,1.389230769,57997,86862.5,801319
4,3104,Columbia University,4,93,2.171339857,2.595393927,2.414901463,1.602693824,0.623958264,1.977536808,2.660857738,2.036748897,1.673726392,1.262277342,3.344054043,2.100144638,2.006363947,4.6,4.7,6.3,0.9907,3.71,19,94.7,97,1.267105263,39130.5,87874,1774646
5,3052,University of Chicago,4,93,2.152988575,2.595393927,2.414901463,1.562124171,0.867085037,2.037095706,2.602302617,1.989081189,0.500007466,0.700045432,3.718913043,1.302000497,0.57134894,4.6,4.7,8.4,0.9821,3.9,18,93.5,96.3,1.120454545,30787,93615,1061137
6,3110,New York University,6,89,2.026360435,2.479664501,2.154152991,1.562124171,0.675142848,1.322388931,2.612061804,1.934603807,1.663195471,-0.480415839,3.363805802,1.22598677,2.846198149,4.5,4.5,8.6,0.9821,3.75,30,93.7,95.5,1.265789474,13269,88176.5,2192223
7,3140,University of Pennsylvania,7,88,1.886233422,2.363935075,2.023778754,1.530989322,0.854288891,2.156213502,2.714533266,2.002700534,1.694788232,0.749809711,1.935574078,0.579870085,2.767740925,4.4,4.4,10.3,0.9755,3.89,16,95.8,96.5,1.269736842,31525.5,66303,2153213
8,3117,Duke University,8,84,1.728342572,2.132476224,2.154152991,1.530989322,0.70073514,1.858419012,2.031390189,1.396639667,1.926468477,0.022718884,2.20390417,0.997945587,0.495809979,4.2,4.5,9.2,0.9755,3.77,21,81.8,87.6,1.298684211,20735.5,70412.5,1023578
9,3016,University of California - Berkeley,8,84,1.779943287,2.363935075,2.154152991,1.454095678,0.726327432,1.91797791,2.158259618,1.587310501,2.084756308,3.127140651,1.761530068,-0.56033583,1.519629488,4.4,4.5,13.3,0.9592,3.79,20,84.4,90.4,1.318461538,66805,63637.5,1532635
10,3162,University of Virginia,8,84,1.772025308,2.248205649,2.154152991,1.530989322,0.803104308,2.037095706,2.787727167,2.036748897,1.261379321,0.015306466,1.274232957,0.351828902,0.978101679,4.3,4.5,10.9,0.9755,3.85,18,97.3,97,1.215584416,20625.5,56174.5,1263380
