"STATE","State","Ad Agency","Criminal","Civil","Docket","D score","Salary","S score","Clerks","C score","2004 Prof Score Recoded","Prof Diff","Cscore_2004","Sscore_2004","Dscore_2004","ProfScore2019","BAPercent"
"Alabama","AL",0.5,1,1,2.5,0.83,172998,0.67,2,0.5,0.493,0.174,0.1125,0.78,0.58,0.667,26.35
"Alaska","AK",0,1,0.5,1.5,0.5,205176,0.79,3,0.75,0.563,0.118,0.75,0.61,0.33,0.681,30.19
"Arizona","AZ",1,0.5,1,2.5,0.83,159685,0.62,2,0.5,0.606,0.044,0.5,0.65,0.67,0.65,30.18
"Arkansas","AR",0.5,0.5,0.5,1.5,0.5,174925,0.68,2,0.5,0.693,-0.134,0.5,0.66,0.92,0.559,23.34
"California","CA",1,1,1,3,1,253189,0.98,5,1.25,1.023,0.05298043,1.25,0.9,0.92,1.076,35
"Colorado","CO",0.75,0.75,0.75,2.25,0.75,188151,0.73,3,0.75,0.366,0.376,0.5,0.6,0,0.742,42.66
"Connecticut","CT",0.5,0.5,0.5,1.5,0.5,191178,0.74,1,0.25,0.582,-0.086,0.285,0.71,0.75,0.496,39.84
"Delaware","DE",0.5,0.5,0.5,1.5,0.5,196245,0.76,1,0.25,0.65,-0.147,0.5,0.78,0.67,0.503,33.2
"Florida","FL",1,0.75,0.75,2.5,0.83,220600,0.85,3,0.75,0.738,0.074,0.75,0.8,0.67,0.812,30.7
"Georgia","GA",1,1,1,3,1,175600,0.68,3,0.75,0.679,0.13,0.5,0.79,0.75,0.809,32.51
"Hawaii","HI",0.5,1,1,2.5,0.83,229668,0.89,2,0.5,0.532,0.208,0.5,0.59,0.5,0.74,33.63
"Idaho","ID",0.5,0.5,0.5,1.5,0.5,155200,0.6,2,0.5,0.512,0.021,0.5,0.54,0.5,0.533,28.75
"Illinois","IL",0.75,0.75,0.75,2.25,0.75,240016,0.93,3,0.75,0.714,0.095,0.75,0.89,0.5,0.809,35.76
"Indiana","IN",0.25,0.5,0.5,1.25,0.42,182030,0.7,2,0.5,0.614,-0.074,0.5,0.59,0.75,0.54,26.94
"Iowa","IA",0.25,0.25,0.25,0.75,0.25,178304,0.69,1,0.25,0.46,-0.064,0.25,0.63,0.5,0.396,29.31
"Kansas","KS",0.5,0.5,0.5,1.5,0.5,145641,0.56,2,0.5,0.453,0.068,0.25,0.61,0.5,0.521,34.02
"Kentucky","KY",1,0.75,1,2.75,0.92,142362,0.55,2,0.5,0.689,-0.033,0.5,0.65,0.92,0.656,25.13
"Louisiana","LA",0.75,0.75,0.75,2.25,0.75,174583,0.67,3,0.75,0.647,0.078,0.75,0.61,0.58,0.725,24.98
"Maine","ME",0.5,0.25,0,0.75,0.25,142210,0.55,2,0.5,0.414,0.019,0.535,0.54,0.17,0.433,33.19
"Maryland","MD",1,1,0.75,2.75,0.92,186433,0.72,2,0.5,0.56,0.152,0.5,0.68,0.5,0.712,40.88
"Massachusetts","MA",1,0.75,1,2.75,0.92,200984,0.78,2,0.5,0.607,0.124,0.5,0.65,0.67,0.731,44.98
"Michigan","MI",1,1,1,3,1,164610,0.64,4,1,0.902,-0.023,0.8575,0.85,1,0.879,30.03
"Minnesota","MN",0.5,0.75,1,2.25,0.75,182139,0.7,1.5,0.375,0.571,0.039,0.3575,0.69,0.67,0.61,37.25
"Mississippi","MS",0.5,0.5,0.5,1.5,0.5,152250,0.59,2,0.5,0.36,0.169,0.5,0.58,0,0.529,22.31
"Missouri","MO",0.75,0.75,0.75,2.25,0.75,178641,0.69,2,0.5,0.6,0.047,0.5,0.63,0.67,0.647,30.22
"Montana","MT",0.5,0.5,0.5,1.5,0.5,149681,0.58,2,0.5,0.442,0.084,0.5,0.49,0.33,0.526,33.58
"Nebraska","NE",0.5,0.5,0.5,1.5,0.5,176299,0.68,2,0.5,0.594,-0.034,0.5,0.61,0.67,0.56,33.23
"Nevada","NV",0.5,0.5,0.5,1.5,0.5,170000,0.66,2,0.5,0.407,0.145,0.5,0.72,0,0.552,25.69
