"id","stateid","year","c1name","c2name","c1vshare","c2vshare","chnumber","c1lncash","c2lncash","c1lastopp","c1lnmedia","murderlog","lawyerlog","c1fem","c2fem","c1ranked","c2ranked","c1prior","c2prior","partisan","openseat","challenger","c1inc","c1negpln","c1win","c2win","c1app"
1,1,2006,"Champ Lyons",NA,98.08,NA,0,12.661045,NA,79.69999695,0.6931472,2.104134,9.423999,0,NA,1,NA,1,NA,1,0,0,1,0,1,NA,0
2,1,2000,"John England","Thomas Woodall",45.78,54.22,1,13.1852455,13.89883,0,0,2.0668628,9.247251,0,0,1,1,0,1,1,0,1,1,0,0,1,1
3,1,2000,"Ralph Cook","Lyn Stuart",47.38,52.61,1,13.118596,14.064016,0,0,2.0668628,9.247251,0,1,1,1,1,1,1,0,1,1,0,0,1,1
4,1,1998,"Roger Monroe","Jean Brown",49.66,50.34,1,14.067306,14.2317505,0,0,2.2925348,9.184201,0,1,0,1,1,1,1,1,1,0,0,0,1,0
5,1,2012,"Lyn Stuart",NA,100,NA,0,9.79088,NA,57.79999924,1.3862944,1.8245493,9.537916,1,NA,1,NA,1,NA,1,0,0,1,0,1,NA,0
6,1,2012,"Tommy Bryan",NA,100,NA,0,12.795735,NA,0,1.3862944,1.8245493,9.537916,0,NA,0,NA,1,NA,1,1,0,0,0,1,NA,0
7,1,2010,"Kelli Wise","Rhonda Chambers",62.87,37.04,1,13.375503,12.478994,0,1.7917595,1.9169226,9.506214,1,1,0,0,1,0,1,1,1,0,0,1,0,0
8,1,2010,"Tom Parker","Mac Parsons",58.89,41.03,1,12.839008,12.555646,55.79999924,3.1354942,1.9169226,9.506214,0,0,1,0,1,1,1,0,1,1,0,1,0,0
9,1,2012,"Glenn Murdock",NA,100,NA,0,6.908755,NA,54.90000153,1.609438,1.8245493,9.537916,0,NA,1,NA,1,NA,1,0,0,1,0,1,NA,0
10,1,2000,"Champ Lyons","Sydney Smith",79.74,20.26,1,11.446796,0,0,0,2.0668628,9.247251,0,0,1,1,1,1,1,0,1,1,0,1,0,0
11,1,2006,"Glenn Murdock","John England",54.96,44.98,1,14.050711,12.889788,0,0,2.104134,9.423999,0,0,1,1,1,1,1,1,1,0,0,1,0,0
12,1,2008,"Greg Shaw","Deborah Bell Paseur",50.25,49.62,1,14.399977,14.70621,0,0,2.1860514,9.46777,0,1,0,1,1,1,1,1,1,0,0,1,0,0
13,1,2006,"Drayton Nabers","Sue Bell Cobb",48.36,51.47,1,15.159695,14.652856,0,0,2.104134,9.423999,0,1,1,1,1,1,1,0,1,1,0,0,1,1
14,1,2010,"Michael Bolin","Tracy W. Cary",62.72,37.19,1,13.975865,13.539904,59.70000076,0,1.9169226,9.506214,0,0,0,1,1,0,1,0,1,1,0,1,0,0
15,1,2004,"Patricia Smith","Roger M Monroe",59.9,40.1,1,13.263584,11.173028,0,0,1.8870697,9.179572,1,0,0,0,1,1,1,1,1,0,0,1,0,0
16,1,2006,"Tom Woodall","Gwendolyn Kennedy",56.71,43.17,1,13.029124,8.863757,54.20000076,0.6931472,2.104134,9.423999,0,1,1,1,1,0,1,0,1,1,0,1,0,0
17,1,1998,"Eric Johnstone","Glenn Murdock",52.29,47.77,1,14.040769,14.404659,0,0,2.2925348,9.184201,0,0,0,1,0,0,1,1,1,0,0,1,0,0
18,1,2000,"Bernard Harwood","Joel Laird",54.81,45.19,1,14.150641,12.678969,0,0,2.0668628,9.247251,0,0,1,0,1,0,1,1,1,0,0,1,0,0
19,1,2012,"Roy Moore","Bob Vance",51.78,48.12,1,13.168854,13.744692,0,3.7376697,1.8245493,9.537916,0,0,1,1,1,1,1,1,1,0,2.3025851,1,0,0
20,1,2004,"Tom Parker","Robert H Smith",55.73,44.13,1,12.616993,11.946499,0,0,1.8870697,9.179572,0,0,1,1,1,0,1,1,1,0,0,1,0,0
21,1,2012,"Jim Main",NA,98.13,NA,0,7.1316986,NA,0,1.609438,1.8245493,9.537916,0,NA,1,NA,1,NA,1,0,0,1,0,1,NA,1
22,1,2004,"Michael Bolin","John E Rochester",59.68,40.25,1,13.596612,12.639344,0,0,1.8870697,9.179572,0,0,0,0,1,1,1,1,1,0,0,1,0,0
23,1,2000,"Roy Moore","Sharon Yates",54.74,45.26,1,14.24993,13.420812,0,0,2.0668628,9.247251,0,1,1,1,1,1,1,1,1,0,0,1,0,0
24,1,1998,"Gorman Houston","Janie Clark",51.5,48.5,1,14.207613,11.78014,86.98999786,0,2.2925348,9.184201,0,1,1,0,1,1,1,0,1,1,0,1,0,1
25,1,2002,"Harold See","James Anderson",51.4,46.3,1,14.09859,0,52.79999924,0,2.1400661,9.318657,0,0,1,0,1,1,1,0,1,1,0,1,0,0
26,1,2006,"Lyn Stuart","Albert Johnson",57.78,42.13,1,14.293134,11.547814,52.59999847,0,2.104134,9.423999,1,0,1,0,1,1,1,0,1,1,0,1,0,0
27,2,2010,"Karen Baker","Tim Fox",48.36,36.78,1,13.066967,13.008379,0,0.6931472,1.8245493,8.620652,1,0,1,1,1,1,0,1,1,0,0,1,0,0
28,2,2008,"Paul Danielson",NA,100,NA,0,11.032322,NA,57.20000076,0.6931472,1.9021075,8.648221,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,0
29,2,2006,"Donald Corbin","Roger Harrod",62.75,37.25,1,11.491794,10.833109,60,0,1.9169226,8.630522,0,0,1,1,1,1,0,0,1,1,0,1,0,0
30,2,2014,"Robin Wynne","Tim Cullen",52,48,1,11.50586,11.998796,0,2.8903718,1.686399,8.694502,0,0,1,1,1,0,0,1,1,0,0,1,0,0
31,2,2000,"W.H. Arnold",NA,100,NA,0,0,NA,0,0,1.7227666,8.648221,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,0
32,2,1998,"Donald L Corbin","Frank Arey",60,40,1,0,0,0,0.6931472,2.2925348,8.853665,0,0,1,1,1,0,1,0,1,1,0,1,0,0
33,2,2004,"Jim Hannah","Wendell Griffen",62.54,37.46,1,12.117607,11.737148,54.27000046,0,1.8870697,8.545587,0,0,1,1,1,1,0,0,1,1,0,1,0,0
34,2,2002,"Tom Glaze",NA,100,NA,0,9.698675,NA,0,0,1.704748,8.515592,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,0
35,2,2012,"Josephine Hart","Raymond Abramson",65.39,34.61,1,12.251672,12.746063,0,0.6931472,1.704748,8.69165,1,0,1,1,1,1,0,1,1,0,0,1,0,0
36,2,2006,"Paul E. Danielson","Wendell Griffen",57.19,42.81,1,12.082237,11.173276,0,0,1.9169226,8.630522,0,0,1,1,1,1,0,1,1,0,0,1,0,0
37,2,2008,"Jim Hannah",NA,100,NA,0,10.118438,NA,62.54000092,1.0986123,1.9021075,8.648221,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,0
38,2,2004,"Jim Gunter","Collins Kilgore",56.81,43.19,1,12.473884,12.571854,0,0,1.8870697,8.545587,0,0,1,1,1,1,0,1,1,0,0,1,0,0
39,2,2006,"Robert Brown",NA,100,NA,0,10.08735,NA,0,0,1.9169226,8.630522,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,0
40,2,2006,"Annabelle Clinton Imber",NA,100,NA,0,9.926618,NA,0,0.6931472,1.9169226,8.630522,1,NA,1,NA,1,NA,0,0,0,1,0,1,NA,0
41,2,2010,"Courtney Hudson Goodson","John Fogleman",57.51,42.49,1,13.451708,12.719292,0,0.6931472,1.8245493,8.620652,1,0,1,1,1,1,0,1,1,0,0,1,0,0
42,2,2000,"Jim Hannah","K. Max Koonce, II",57,43,1,12.216261,11.879331,0,0,1.7227666,8.648221,0,0,1,1,1,0,0,1,1,0,0,1,0,0
43,3,2006,"Carol Hunstein","Mike Wiggins",63.1,36.9,1,14.099617,12.632529,0,0.6931472,1.8245493,10.123827,1,0,1,1,1,0,0,0,1,1,0,1,0,1
44,3,2008,"Harris Hines",NA,100,NA,0,11.965612,NA,0,1.0986123,2.014903,10.1833515,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,1
45,3,2012,"Carol Hunstein",NA,100,NA,0,12.528899,NA,63.09999847,1.609438,1.7227666,10.270593,1,NA,1,NA,1,NA,0,0,0,1,0,1,NA,1
46,3,2010,"David Nahmias","Tammy Lynn Adkins",48.2,35.2,1,12.592271,9.699595,0,3.465736,1.7578579,10.220376,0,1,1,1,1,0,0,0,1,1,0,1,0,1
47,3,2000,"Hugh P Thompson",NA,100,NA,0,8.2943,NA,0,0,2.014903,9.964959,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,1
48,3,2000,"Carol Hunstein",NA,100,NA,0,10.32617,NA,0,0.6931472,2.014903,9.964959,1,NA,1,NA,1,NA,0,0,0,1,0,1,NA,1
49,3,2006,"Harold D Melton",NA,100,NA,0,11.000116,NA,0,0,1.8245493,10.123827,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,1
50,3,2008,"Robert Benham",NA,100,NA,0,12.98755,NA,0,1.0986123,2.014903,10.1833515,0,NA,1,NA,1,NA,0,0,0,1,0,1,NA,1
