cases,trade,tradebal,central
2,14.9666,-0.54460001,0
0,0.81529999,-0.029300001,0
0,0.8901,-0.023700001,0
0,0.99679995,-0.0288,0
0,1.1531,-0.032900002,0
0,1.2896,-0.0108,0
0,1.4014001,-0.035,0
5,1.4208,-0.0144,0
1,1.6496999,-0.016899999,0
4,2.0053999,0.0076,0
4,2.2971001,0.024700001,0
1,2.5247998,-0.046399999,0
5,3.164,0.066200003,0
8,4.4380999,0.053100001,0
5,5.8203001,-0.1547,0
7,5.9580998,-0.19769999,0
11,6.7772999,-0.2211,0
16,7.7947001,-0.28690001,0
7,9.3780003,-0.36759999,0
13,11.6656,-0.41479999,0
14,13.621901,-0.71969998,0
12,11.8155,-0.67729998,0
10,11.0375,-0.56129998,0
9,9.3139992,-0.1816,0
13,9.3644009,-0.1218,0
13,9.5144005,-0.047200002,0
13,11.9354,0.055599999,0
15,15.2356,-0.017999999,0
30,16.9769,0.1223,0
13,18.1968,0.2278,0
17,21.870499,0.1671,0
19,21.3981,0.1999,0
16,22.998199,0.37,0
22,20.6824,0.57800001,0
19,23.882801,0.69300002,0
14,30.7062,0.88139999,0
0,1.4051,-0.15530001,1
0,1.7644999,-0.2209,1
1,1.908,-0.1656,1
0,2.1542001,-0.3312,1
1,2.3330002,-0.31999999,1
3,2.6690001,-0.2924,1
1,3.3097,-0.3705,1
2,3.6089001,-0.25909999,1
1,3.3670001,-0.148,1
1,3.2172,-0.15539999,1
4,3.2184,0.023600001,1
2,3.2364001,-0.0206,1
0,3.5009999,-0.076399997,1
4,4.3663998,-0.105,1
5,5.0594997,0.079499997,1
4,5.3190999,0.1883,1
2,5.5032001,0.24240001,1
5,6.7269001,0.48750001,1
2,6.8817997,0.47479999,1
3,7.4096003,0.72039998,1
7,6.6142998,0.79970002,1
4,7.6085,0.74690002,1
8,9.0881004,0.6825,0
0,6.7620001,1.2534,0
0,1.3888,0.053199999,1
0,1.4878,-0.0156,1
0,1.6809,-0.064499997,1
0,1.9061999,-0.1076,1
2,2.039,-0.0288,1
0,2.2732,-0.095399998,1
3,2.3761001,-0.1001,1
1,2.6599,-0.12549999,1
1,3.2094998,-0.2343,1
2,3.6661,-0.1183,1
5,4.1556997,-0.071699999,1
1,5.2563,-0.0867,1
4,7.2551999,-0.14219999,1
6,9.9169006,-0.66589999,1
15,10.7082,-0.084600002,1
8,12.1553,-0.72289997,1
14,13.5494,-0.55000001,1
12,16.1173,-0.24169999,1
18,20.8559,-0.54570001,1
14,25.089001,-1.8858,1
17,22.737801,-1.4528,1
39,21.239601,-1.902,1
15,18.816601,-0.87540001,1
34,18.9079,-0.46509999,1
45,19.713001,-0.52759999,1
